"sp","assembly","accession","lower","N","assem.sz","date"
"Mus_musculus","C57BL_6NJ_v3","GCA_921999865.2",850.9527,6.079266,1657.577862,"2022-07-01"
"Mus_musculus","C3H_HeJ_v3","GCA_921997125.2",850.912681,24.071608,1657.453156,"2022-07-01"
"Mus_musculus","129S1_SvImJ_v3","GCA_921998555.2",849.757,10.020189,1656.486982,"2022-07-01"
"Mus_musculus","NOD_ShiLtJ_v3","GCA_921998325.2",849.652197,12.565368,1655.146279,"2022-07-01"
"Mus_musculus","A_J_v3","GCA_921998355.2",853.118502,15.412147,1659.730417,"2022-06-30"
"Mus_musculus","CBA_J_v3","GCA_921998905.2",851.205886,12.014811,1657.282598,"2022-06-30"
"Mus_musculus","GRCm39","GCA_000001635.9",967.256843,73.600668,1687.36494,"2020-06-24"
"Mus_musculus","GRCm39","GCF_000001635.27",967.256843,73.600668,1687.36494,"2020-06-24"
"Mus_musculus","ASM377452v2","GCA_003774525.2",851.616077,263.670082,1686.015133,"2018-11-19"
"Gallus_gallus","ASM4646395v1","GCA_046463955.1",215.413504,0,839.083363,"2025-01-03"
"Gallus_gallus","ASM4192031v1","GCA_041920315.1",279.372853,0.016679,856.675388,"2024-09-16"
"Gallus_gallus","ASM4043665v1","GCA_040436655.1",256.493915,7e-04,848.540376,"2024-07-02"
"Gallus_gallus","ASM4043664v1","GCA_040436645.1",249.608267,6e-04,848.242277,"2024-07-02"
"Gallus_gallus","ASM3999707v1","GCA_039997075.1",195.75806,0.0108,827.396487,"2024-05-31"
"Gallus_gallus","ASM3084955v2","GCA_030849555.2",202.547044,0.117451,834.416837,"2024-03-22"
"Gallus_gallus","ASM3091426v2","GCA_030914265.2",203.078059,0.139515,832.643146,"2024-03-22"
"Gallus_gallus","ASM3091427v2","GCA_030914275.2",197.161802,0.090694,828.716188,"2024-03-22"
"Gallus_gallus","ASM3097990v2","GCA_030979905.2",198.513488,0.241744,828.664392,"2024-03-22"
"Gallus_gallus","CVASU_Gallus_Gallus_GG1F","GCA_034769275.1",182.504829,3.5251,810.191994,"2023-12-29"
"Gallus_gallus","CVASU_Gallus_Gallus_GG1M","GCA_034769225.1",180.063602,3.5641,807.567739,"2023-12-29"
"Gallus_gallus","ASM3450988v1","GCA_034509885.1",280.778093,0,856.193313,"2023-12-21"
"Gallus_gallus","ASM3450986v1","GCA_034509865.1",270.596774,0,852.650399,"2023-12-21"
"Gallus_gallus","ASM3450984v1","GCA_034509845.1",268.54544,0,850.693682,"2023-12-21"
"Gallus_gallus","CAU_Silkie_1.0","GCA_033088195.1",232.980465,0.005025,847.568178,"2023-10-27"
"Gallus_gallus","GGswu","GCA_024206055.2",249.814886,0.005572,851.107637,"2023-02-09"
"Gallus_gallus","bGalGal4.pri","GCA_027557775.1",254.981862,2.821884,836.477988,"2023-01-03"
"Gallus_gallus","bGalGal5.pri","GCA_027408225.1",266.887323,2.157079,840.000475,"2022-12-28"
"Gallus_gallus","bGalGal5.alt","GCA_027408205.1",189.96716,9.2e-05,721.898288,"2022-12-27"
"Gallus_gallus","bGalGal4.alt","GCA_027408255.1",183.467453,1.3e-05,702.305457,"2022-12-27"
"Gallus_gallus","ASM2537063v1","GCA_025370635.1",203.49038,0.5048,827.198665,"2022-09-23"
"Gallus_gallus","ASM2467939v1","GCA_024679395.1",200.054456,35.187565,879.083122,"2022-08-15"
"Gallus_gallus","ASM2467935v1","GCA_024679355.1",201.202604,52.398206,873.619354,"2022-08-15"
"Gallus_gallus","ASM2468629v1","GCA_024686295.1",196.966886,31.56771,870.344395,"2022-08-15"
"Gallus_gallus","ASM2467932v1","GCA_024679325.1",195.327051,25.35817,862.177703,"2022-08-15"
"Gallus_gallus","ASM2468631v1","GCA_024686315.1",195.818628,31.886472,860.104672,"2022-08-15"
"Gallus_gallus","ASM2467937v1","GCA_024679375.1",195.161398,36.342713,858.354722,"2022-08-15"
"Gallus_gallus","ASM2467990v1","GCA_024679905.1",195.584773,24.298303,851.719367,"2022-08-15"
"Gallus_gallus","ASM2468700v1","GCA_024687005.1",190.209822,23.747059,844.89504,"2022-08-15"
"Gallus_gallus","ASM2467976v1","GCA_024679765.1",191.742798,25.360092,843.56612,"2022-08-15"
"Gallus_gallus","ASM2468627v1","GCA_024686275.1",200.290174,0,841.697481,"2022-08-15"
"Gallus_gallus","ASM2467941v1","GCA_024679415.1",187.592093,25.830978,832.824353,"2022-08-15"
"Gallus_gallus","ASM2465304v1","GCA_024653045.1",204.770551,0.53709,831.027938,"2022-08-15"
"Gallus_gallus","ASM2468646v1","GCA_024686465.1",199.769688,0.125586,830.084446,"2022-08-15"
"Gallus_gallus","ASM2465299v1","GCA_024652995.1",207.077992,0.570884,829.004817,"2022-08-15"
"Gallus_gallus","ASM2465298v1","GCA_024652985.1",198.105893,0.430334,824.957893,"2022-08-15"
"Gallus_gallus","ASM2465302v1","GCA_024653025.1",200.090195,0.412656,824.372193,"2022-08-15"
"Gallus_gallus","ASM2468635v1","GCA_024686355.1",196.099524,0.097205,821.565229,"2022-08-15"
"Gallus_gallus","ASM2468628v1","GCA_024686285.1",200.556757,0.112708,821.557696,"2022-08-15"
"Gallus_gallus","ASM2465303v1","GCA_024653035.1",198.311794,0.422498,819.4257,"2022-08-15"
"Gallus_gallus","bGalGal1.pat.whiteleghornlayer.GRCg7w_WZ","GCA_016700215.2",212.403645,4.496311,833.611283,"2021-10-01"
"Gallus_gallus","bGalGal1.pat.whiteleghornlayer.GRCg7w","GCF_016700215.2",212.403645,4.496311,833.611283,"2021-10-01"
"Gallus_gallus","bGalGal1.mat.broiler.GRCg7b","GCA_016699485.1",216.353104,3.383918,833.595229,"2021-01-19"
"Gallus_gallus","bGalGal1.mat.broiler.GRCg7b","GCF_016699485.2",216.353104,3.383918,833.595229,"2021-01-19"
"Gallus_gallus","GRCg6a","GCA_000002315.5",216.032072,9.78446,839.532118,"2018-03-27"
"Gallus_gallus","GRCg6a","GCF_000002315.6",217.044624,9.78446,838.53635,"2018-03-27"
"Gallus_gallus","Ogye1.0","GCA_002798355.1",185.204848,19.226601,816.590787,"2017-12-05"
"Drosophila_melanogaster","ASM4877213v1","GCA_048772135.1",44.230143,0.0018,117.39914,"2025-05-01"
"Drosophila_melanogaster","ASM4260645v1","GCA_042606455.1",52.210044,0.016,120.240062,"2024-10-04"
"Drosophila_melanogaster","ASM4260644v1","GCA_042606445.1",49.005247,0.024,119.527893,"2024-10-04"
"Drosophila_melanogaster","ASM4260646v1","GCA_042606465.1",50.722232,0.018,119.498999,"2024-10-04"
"Drosophila_melanogaster","ASM3969401v1","GCA_039694015.1",46.264717,0,117.707415,"2024-05-20"
"Drosophila_melanogaster","ASM3969402v1","GCA_039694025.1",45.976329,0,116.71335,"2024-05-20"
"Drosophila_melanogaster","ASM3707538v1","GCA_037075385.1",31.591922,0.005402,110.480769,"2024-03-08"
"Drosophila_melanogaster","RU_dmel_BG3_1.0","GCA_034768405.1",29.964725,0.0775,111.699617,"2023-12-29"
"Drosophila_melanogaster","ASM2977565v1","GCA_029775655.1",26.760516,0.234174,106.885918,"2023-04-17"
"Drosophila_melanogaster","ASM2977567v1","GCA_029775675.1",26.778186,0.234174,106.868248,"2023-04-17"
"Drosophila_melanogaster","ASM2977569v1","GCA_029775695.1",26.779333,0.234174,106.867101,"2023-04-17"
"Drosophila_melanogaster","ASM2977553v1","GCA_029775535.1",26.783218,0.234174,106.863216,"2023-04-17"
"Drosophila_melanogaster","ASM2977559v1","GCA_029775595.1",26.783234,0.234174,106.8632,"2023-04-17"
"Drosophila_melanogaster","ASM2977549v1","GCA_029775495.1",26.783374,0.234174,106.86306,"2023-04-17"
"Drosophila_melanogaster","ASM2977579v1","GCA_029775795.1",26.785916,0.234174,106.860518,"2023-04-17"
"Drosophila_melanogaster","ASM2977547v1","GCA_029775475.1",26.791925,0.234174,106.854509,"2023-04-17"
"Drosophila_melanogaster","ASM2977575v1","GCA_029775755.1",26.793134,0.234174,106.8533,"2023-04-17"
"Drosophila_melanogaster","ASM2977581v1","GCA_029775815.1",26.794181,0.234174,106.852253,"2023-04-17"
"Drosophila_melanogaster","ASM2977571v1","GCA_029775715.1",26.797889,0.234174,106.848545,"2023-04-17"
"Drosophila_melanogaster","ASM2977573v1","GCA_029775735.1",26.800393,0.234174,106.846041,"2023-04-17"
"Drosophila_melanogaster","ASM2977551v1","GCA_029775515.1",26.800871,0.234174,106.845563,"2023-04-17"
"Drosophila_melanogaster","ASM2977557v1","GCA_029775575.1",26.801743,0.234174,106.844691,"2023-04-17"
"Drosophila_melanogaster","ASM2977555v1","GCA_029775555.1",26.803622,0.234174,106.842812,"2023-04-17"
"Drosophila_melanogaster","ASM2977577v1","GCA_029775775.1",26.808552,0.234174,106.837882,"2023-04-17"
"Drosophila_melanogaster","ASM2977563v1","GCA_029775635.1",26.809221,0.234174,106.837213,"2023-04-17"
"Drosophila_melanogaster","ASM2977561v1","GCA_029775615.1",26.811904,0.234174,106.83453,"2023-04-17"
"Drosophila_melanogaster","ASM2977511v1","GCA_029775115.1",26.838534,0.234174,106.8079,"2023-04-17"
"Drosophila_melanogaster","ASM2977513v1","GCA_029775135.1",26.840072,0.234174,106.806362,"2023-04-17"
"Drosophila_melanogaster","ASM2977509v1","GCA_029775095.1",26.843594,0.234174,106.80284,"2023-04-17"
"Drosophila_melanogaster","ASM2977527v1","GCA_029775275.1",26.843714,0.234174,106.80272,"2023-04-17"
"Drosophila_melanogaster","ASM2977529v1","GCA_029775295.1",26.843936,0.234174,106.802498,"2023-04-17"
"Drosophila_melanogaster","ASM2977531v1","GCA_029775315.1",26.844082,0.234174,106.802352,"2023-04-17"
"Drosophila_melanogaster","ASM2977515v1","GCA_029775155.1",26.845165,0.234174,106.801269,"2023-04-17"
"Drosophila_melanogaster","ASM2977517v1","GCA_029775175.1",26.850418,0.234174,106.796016,"2023-04-17"
"Drosophila_melanogaster","ASM2977535v1","GCA_029775355.1",26.851801,0.234174,106.794633,"2023-04-17"
"Drosophila_melanogaster","ASM2977541v1","GCA_029775415.1",26.853274,0.234174,106.79316,"2023-04-17"
"Drosophila_melanogaster","ASM2977537v1","GCA_029775375.1",26.855397,0.234174,106.791037,"2023-04-17"
"Drosophila_melanogaster","ASM2977525v1","GCA_029775255.1",26.856227,0.234174,106.790207,"2023-04-17"
"Drosophila_melanogaster","ASM2977523v1","GCA_029775235.1",26.856426,0.234174,106.790008,"2023-04-17"
"Drosophila_melanogaster","ASM2977533v1","GCA_029775335.1",26.858775,0.234174,106.787659,"2023-04-17"
"Drosophila_melanogaster","ASM2977519v1","GCA_029775195.1",26.858945,0.234174,106.787489,"2023-04-17"
"Drosophila_melanogaster","ASM2977521v1","GCA_029775215.1",26.859018,0.234174,106.787416,"2023-04-17"
"Drosophila_melanogaster","ASM2977539v1","GCA_029775395.1",26.865313,0.234174,106.781121,"2023-04-17"
"Drosophila_melanogaster","ASM2977545v1","GCA_029775455.1",26.874673,0.234174,106.771761,"2023-04-17"
"Drosophila_melanogaster","UCI_ORw1118_1.0","GCA_024500395.1",49.684815,0.0112,127.500285,"2022-08-01"
"Drosophila_melanogaster","dmgoth63_genome_assembly","GCA_927720205.1",26.752762,0.0909,107.728664,"2022-01-24"
"Drosophila_melanogaster","dmsj23_genome_assembly","GCA_927718715.1",24.384614,0.0979,106.947163,"2022-01-24"
"Drosophila_melanogaster","dmsj7_genome_assembly","GCA_927718685.1",24.503602,0.1096,106.857081,"2022-01-24"
"Drosophila_melanogaster","dmgoth101_genome_assembly","GCA_927717585.1",24.654874,0.1103,105.828168,"2022-01-24"
"Drosophila_melanogaster","ASM2016949v1","GCA_020169495.1",27.233326,0.021579,108.014388,"2021-09-28"
"Drosophila_melanogaster","ASM2014183v1","GCA_020141835.1",34.508408,0.035535,113.437265,"2021-09-27"
"Drosophila_melanogaster","ASM2014159v1","GCA_020141595.1",29.510591,0.044301,112.853385,"2021-09-27"
"Drosophila_melanogaster","ASM2014204v1","GCA_020142045.1",30.651971,0.040723,112.812558,"2021-09-27"
"Drosophila_melanogaster","ASM2014170v1","GCA_020141705.1",32.388328,0.124966,112.242248,"2021-09-27"
"Drosophila_melanogaster","ASM2014195v1","GCA_020141955.1",36.19017,0.027101,112.227164,"2021-09-27"
"Drosophila_melanogaster","ASM2014166v1","GCA_020141665.1",31.635468,0.172514,112.190687,"2021-09-27"
"Drosophila_melanogaster","ASM2014202v1","GCA_020142025.1",29.905712,0.038501,112.181178,"2021-09-27"
"Drosophila_melanogaster","ASM2014192v1","GCA_020141925.1",32.060005,0.031327,111.76498,"2021-09-27"
"Drosophila_melanogaster","ASM2014149v1","GCA_020141495.1",29.396127,0.015801,111.658251,"2021-09-27"
"Drosophila_melanogaster","ASM2014158v1","GCA_020141585.1",32.069694,0.166234,111.501572,"2021-09-27"
"Drosophila_melanogaster","ASM2014185v1","GCA_020141855.1",29.670914,0.037035,111.409546,"2021-09-27"
"Drosophila_melanogaster","ASM2014157v1","GCA_020141575.1",31.287152,0.034701,111.258023,"2021-09-27"
"Drosophila_melanogaster","ASM2014174v1","GCA_020141745.1",32.481475,0.093988,110.896117,"2021-09-27"
"Drosophila_melanogaster","ASM2014184v1","GCA_020141845.1",29.986776,0.025901,110.895408,"2021-09-27"
"Drosophila_melanogaster","ASM2014150v1","GCA_020141505.1",28.538305,0.033719,110.594541,"2021-09-27"
"Drosophila_melanogaster","ASM2014205v1","GCA_020142055.1",28.090632,0.062301,110.143014,"2021-09-27"
"Drosophila_melanogaster","ASM2014198v1","GCA_020141985.1",28.62125,0.039201,110.07405,"2021-09-27"
"Drosophila_melanogaster","ASM2014200v1","GCA_020142005.1",30.9554,0.028747,109.936869,"2021-09-27"
"Drosophila_melanogaster","ASM2014167v1","GCA_020141675.1",31.304456,0.015901,109.89048,"2021-09-27"
"Drosophila_melanogaster","ASM2014210v1","GCA_020142105.1",31.617774,0.013427,109.712628,"2021-09-27"
"Drosophila_melanogaster","ASM2014148v1","GCA_020141485.1",28.365354,0.022627,109.700701,"2021-09-27"
"Drosophila_melanogaster","ASM2014165v1","GCA_020141655.1",32.234262,0.015927,109.650899,"2021-09-27"
"Drosophila_melanogaster","ASM2014181v1","GCA_020141815.1",28.792599,0.041201,109.629416,"2021-09-27"
"Drosophila_melanogaster","ASM2014187v1","GCA_020141875.1",28.515893,0.032827,109.606092,"2021-09-27"
"Drosophila_melanogaster","ASM2014176v1","GCA_020141765.1",30.372297,0.017735,109.600475,"2021-09-27"
"Drosophila_melanogaster","ASM2014179v1","GCA_020141795.1",29.08733,0.027027,109.586195,"2021-09-27"
"Drosophila_melanogaster","ASM2014208v1","GCA_020142085.1",28.601791,0.017863,109.496534,"2021-09-27"
"Drosophila_melanogaster","ASM2014193v1","GCA_020141935.1",27.81214,0.018835,109.272293,"2021-09-27"
"Drosophila_melanogaster","ASM2014162v1","GCA_020141625.1",27.880921,0.051001,109.077065,"2021-09-27"
"Drosophila_melanogaster","ASM2014173v1","GCA_020141735.1",28.00496,0.03662,108.825371,"2021-09-27"
"Drosophila_melanogaster","ASM2014151v1","GCA_020141515.1",28.320173,0.022301,108.322857,"2021-09-27"
"Drosophila_melanogaster","ASM1890436v1","GCA_018904365.1",35.071003,0.001419,109.633999,"2021-06-16"
"Drosophila_melanogaster","ASM1585258v1","GCA_015852585.1",41.71377,0.0622,126.057925,"2020-12-09"
"Drosophila_melanogaster","ASM1583244v1","GCA_015832445.1",36.455758,0.0324,112.61647,"2020-12-09"
"Drosophila_melanogaster","ASM479807v2","GCA_004798075.2",29.784672,0.410668,111.355639,"2019-11-25"
"Drosophila_melanogaster","DGRP379","GCA_004798055.1",25.954606,0.07039,107.378901,"2019-04-26"
"Drosophila_melanogaster","ASM340191v1","GCA_003401915.1",30.789333,0.006596,116.065349,"2018-08-17"
"Drosophila_melanogaster","ASM340180v1","GCA_003401805.1",29.356497,0.013801,112.976703,"2018-08-17"
"Drosophila_melanogaster","ASM340185v1","GCA_003401855.1",28.723643,0.006498,110.201768,"2018-08-17"
"Drosophila_melanogaster","ASM340174v1","GCA_003401745.1",31.518717,0.0027,109.165622,"2018-08-17"
"Drosophila_melanogaster","ASM339711v2","GCA_003397115.2",28.395069,0.0073,109.057452,"2018-08-17"
"Drosophila_melanogaster","ASM340201v1","GCA_003402015.1",27.277315,0.007502,108.973009,"2018-08-17"
"Drosophila_melanogaster","ASM340168v1","GCA_003401685.1",28.865448,0.0051,108.83662,"2018-08-17"
"Drosophila_melanogaster","ASM340192v1","GCA_003401925.1",27.618182,0.0058,108.352785,"2018-08-17"
"Drosophila_melanogaster","ASM340173v1","GCA_003401735.1",29.330149,0.0055,108.332499,"2018-08-17"
"Drosophila_melanogaster","ASM340200v1","GCA_003402005.1",28.089619,0.006,108.16538,"2018-08-17"
"Drosophila_melanogaster","ASM340197v1","GCA_003401975.1",29.519562,0.008,107.958074,"2018-08-17"
"Drosophila_melanogaster","ASM340205v1","GCA_003402055.1",28.241761,0.006212,107.945981,"2018-08-17"
"Drosophila_melanogaster","ASM340188v1","GCA_003401885.1",26.298822,0.007,106.921617,"2018-08-17"
"Drosophila_melanogaster","ASM340179v1","GCA_003401795.1",26.901953,0.0075,106.432376,"2018-08-17"
"Drosophila_melanogaster","ASM231075v1","GCA_002310755.1",20.695775,0.373816,99.311453,"2017-09-18"
"Drosophila_melanogaster","Dmel_A4_1.0","GCA_002300595.1",33.466737,0.0034,110.655225,"2017-09-15"
"Drosophila_melanogaster","CA_8.1_PBcR","GCA_002050065.1",31.980415,0,106.510086,"2017-03-20"
"Drosophila_melanogaster","CA_8.2_MHAP","GCA_000778455.1",43.188759,0,120.891695,"2014-11-13"
"Drosophila_melanogaster","Release_6_plus_ISO1_MT","GCA_000001215.4",32.060083,1.152978,110.512941,"2014-08-01"
"Drosophila_melanogaster","Release_6_plus_ISO1_MT","GCF_000001215.4",32.060083,1.152978,110.512941,"2014-08-01"
"Drosophila_melanogaster","D._melanogaster_TruSeq_synthetic_long-read_assembly","GCA_000705575.1",33.177594,0,120.104551,"2014-06-12"
"Danio_rerio","GRCz12tu","GCA_049306965.1",746.547458,0,702.244508,"2025-04-04"
"Danio_rerio","ASM3317019v3","GCA_033170195.3",745.782725,0,700.873365,"2025-03-19"
"Danio_rerio","Danio_rerio_NIES_1.0","GCA_040368725.1",626.257909,48.219743,670.522466,"2024-04-04"
"Danio_rerio","AB3v2.0","GCA_025582595.1",717.826836,1.0979,779.355137,"2022-10-05"
"Danio_rerio","CG1v2.0","GCA_025582565.1",613.55708,1.5989,672.028685,"2022-10-05"
"Danio_rerio","fDanRer4.1","GCA_944039275.1",715.877321,0.122395,697.676154,"2022-06-24"
"Danio_rerio","CG2v2.0","GCA_001483285.2",616.402243,1.5531,672.802133,"2022-05-25"
"Danio_rerio","ASM2018471v1","GCA_020184715.1",699.100292,0.0132,702.136452,"2021-09-30"
"Danio_rerio","ZF1_MM_RP","GCA_020064045.1",711.838032,0,707.503454,"2021-09-20"
"Danio_rerio","ASM1840007v1","GCA_018400075.1",656.614219,1.84503,680.180022,"2021-05-19"
"Danio_rerio","fDreTuH1.2","GCA_903684855.2",671.095919,0.082877,689.327299,"2020-07-31"
"Danio_rerio","fDreABH1.1","GCA_903684865.1",666.897287,0.197709,686.980783,"2020-06-28"
"Danio_rerio","fDreABz2.1","GCA_903798185.1",581.190034,173.125556,650.782279,"2020-06-28"
"Danio_rerio","fDreNAz3.1","GCA_903798175.1",575.339726,243.700716,646.048733,"2020-06-27"
"Danio_rerio","fDreCBz1.1","GCA_903798165.1",560.93957,217.857092,642.999818,"2020-06-27"
"Danio_rerio","ASM869237v1","GCA_008692375.1",625.321401,3.919707,676.936885,"2019-10-07"
"Danio_rerio","GRCz11","GCF_000002035.6",813.04832,4.693618,861.461531,"2017-05-09"
"Danio_rerio","GRCz11","GCA_000002035.4",813.04832,4.693618,861.444935,"2017-05-09"
"Danio_rerio","Zebrafish_Genome_Assembly_WGS32","GCA_001487895.1",661.011124,45.049248,736.75544,"2015-12-23"
"Danio_rerio","WGS31","GCA_000767325.1",707.871914,10.864534,693.026617,"2010-05-24"
"Caenorhabditis_elegans","C._elegans_AB1_1.0","GCA_045866515.1",39.987114,0,65.208544,"2024-09-20"
"Caenorhabditis_elegans","ASM3988096v1","GCA_039880965.1",37.728007,0.008996,65.000455,"2024-05-31"
"Caenorhabditis_elegans","ECA36","GCA_963921125.1",38.033363,0.591816,65.787268,"2024-01-05"
"Caenorhabditis_elegans","QX1791","GCA_963921135.1",39.537443,0.014274,65.597445,"2024-01-05"
"Caenorhabditis_elegans","QX1211","GCA_963921155.1",38.41653,0.509356,65.530991,"2024-01-05"
"Caenorhabditis_elegans","JU751","GCA_963921065.1",37.369963,0.469895,65.391646,"2024-01-05"
"Caenorhabditis_elegans","DL238","GCA_963920975.1",38.957552,0.166768,65.341243,"2024-01-05"
"Caenorhabditis_elegans","GXW1","GCA_963921055.1",38.833495,0.036499,65.128036,"2024-01-05"
"Caenorhabditis_elegans","CB4856","GCA_963921145.1",37.969325,0.145322,65.107563,"2024-01-05"
"Caenorhabditis_elegans","MY23","GCA_963921095.1",37.106866,0.736708,65.086687,"2024-01-05"
"Caenorhabditis_elegans","PB306","GCA_963921035.1",37.680482,0.283865,65.046047,"2024-01-05"
"Caenorhabditis_elegans","DL200","GCA_963920995.1",38.034194,0.115041,64.936631,"2024-01-05"
"Caenorhabditis_elegans","AB1","GCA_963921105.1",38.222987,0.255955,64.921086,"2024-01-05"
"Caenorhabditis_elegans","PS2025","GCA_963921015.1",37.516087,0.358946,64.862145,"2024-01-05"
"Caenorhabditis_elegans","ECA248","GCA_963921085.1",37.620045,0.700977,64.838684,"2024-01-05"
"Caenorhabditis_elegans","JU775","GCA_963921075.1",37.758499,0.508426,64.828952,"2024-01-05"
"Caenorhabditis_elegans","JU394","GCA_963920965.1",37.380771,0.65387,64.773363,"2024-01-05"
"Caenorhabditis_elegans","LKC34","GCA_963921115.1",37.296482,0.578856,64.752067,"2024-01-05"
"Caenorhabditis_elegans","N2","GCA_963921025.1",37.425251,0.518415,64.695204,"2024-01-05"
"Caenorhabditis_elegans","EG4946","GCA_963920985.1",37.056466,1.355379,64.578907,"2024-01-05"
"Caenorhabditis_elegans","JT11398","GCA_963921045.1",37.718574,0.657293,64.569329,"2024-01-05"
"Caenorhabditis_elegans","EG4725","GCA_963921005.1",36.951259,0.949636,64.566441,"2024-01-05"
"Caenorhabditis_elegans","ASM3345834v1","GCA_033458345.1",38.378534,0,65.672739,"2023-11-09"
"Caenorhabditis_elegans","ASM3345835v1","GCA_033458355.1",37.625494,0,65.15224,"2023-11-09"
"Caenorhabditis_elegans","ASM3024828v1","GCA_030248285.1",35.828964,0,65.120922,"2023-06-09"
"Caenorhabditis_elegans","ASM2974843v1","GCA_029748435.1",37.357075,0.012603,65.092539,"2023-04-18"
"Caenorhabditis_elegans","ASM2820151v1","GCA_028201515.1",35.927952,0.004604,64.499434,"2023-01-29"
"Caenorhabditis_elegans","ASM2820141v1","GCA_028201415.1",34.983293,0,63.842795,"2023-01-29"
"Caenorhabditis_elegans","ASM2742242v1","GCA_027422425.1",37.95798,0,68.800104,"2022-12-27"
"Caenorhabditis_elegans","ASM2742244v1","GCA_027422445.1",39.265401,0,67.588122,"2022-12-27"
"Caenorhabditis_elegans","Ce_DL226","GCA_022984815.1",38.225266,0.0057,65.235221,"2022-04-19"
"Caenorhabditis_elegans","ASM2045016v1","GCA_020450165.1",37.588984,0.051,65.294402,"2021-10-13"
"Caenorhabditis_elegans","ASM1813687v1","GCA_018136875.1",35.726389,0,68.835919,"2021-04-23"
"Caenorhabditis_elegans","ASM1813680v1","GCA_018136805.1",33.643112,0,68.215263,"2021-04-23"
"Caenorhabditis_elegans","ASM1813683v1","GCA_018136835.1",33.352698,0,62.619774,"2021-04-23"
"Caenorhabditis_elegans","ASM1813679v1","GCA_018136795.1",32.961916,0,62.236641,"2021-04-23"
