"species","rsq","gini","cv","assem.sz","class","order","family","clade"
"junco_hyemalis",0.97339181331378,0.195721956368142,0.319148153598214,958,"Aves","Passeriformes","Passerellidae","Sauropsida"
"larimichthys_crocea",0.863186403611988,0.0828054168110199,0.147309908429384,658,"Actinopterygii","Acanthuriformes","Sciaenidae","Actinopterygii"
"lepisosteus_oculatus",0.915474037354751,0.0970636979090427,0.173510074564926,946,"Actinopterygii","Lepisosteiformes","Lepisosteidae","Actinopterygii"
"leptobrachium_leishanense",0.959844933737647,0.112201362072165,0.189661250131654,3549,"Amphibia","Anura","Megophryidae","Others"
"loxodonta_africana",0.66616250429535,0.227609922551149,0.52236549708307,3197,"Mammalia","Proboscidea","Elephantidae","Mammalia"
"lynx_canadensis",0.473805945835298,0.190014682768939,0.417650546965103,2409,"Mammalia","Carnivora","Felidae","Mammalia"
"macaca_fascicularis",0.508419405926404,0.17938413134953,0.424065828775365,2906,"Mammalia","Primates","Cercopithecidae","Mammalia"
"macaca_mulatta",0.511483275619775,0.177596655989184,0.446308221657843,2971,"Mammalia","Primates","Cercopithecidae","Mammalia"
"malurus_cyaneus_samueli",0.951476727399771,0.18537345610682,0.319722712784476,1079,"Aves","Passeriformes","Maluridae","Sauropsida"
"mastacembelus_armatus",0.484710087353999,0.0838863889130737,0.151714935979331,592,"Actinopterygii","Synbranchiformes","Mastacembelidae","Actinopterygii"
"meleagris_gallopavo",0.942343135070277,0.200256266443081,0.36107437611237,1115,"Aves","Galliformes","Phasianidae","Sauropsida"
"melopsittacus_undulatus",0.764336393770756,0.190715468864084,0.41008315316474,1172,"Aves","Psittaciformes","Psittaculidae","Sauropsida"
"microcebus_murinus",0.676017586854681,0.191600428342646,0.549980179572153,2487,"Mammalia","Primates","Cheirogaleidae","Mammalia"
"microtus_ochrogaster",0.806372454467123,0.155730933325585,0.292795818825385,2287,"Mammalia","Rodentia","Cricetidae","Mammalia"
"monodelphis_domestica",0.962515233574714,0.069768994068939,0.16217917409106,3601,"Mammalia","Didelphimorphia","Didelphidae","Mammalia"
"monodon_monoceros",0.475023030279548,0.200330115546602,0.442018426037504,2356,"Mammalia","Artiodactyla","Monodontidae","Mammalia"
"mus_caroli",0.703319077501226,0.136463785538119,0.246735643628191,2553,"Mammalia","Rodentia","Muridae","Mammalia"
"mus_musculus",0.62296302729928,0.0963806892855173,0.172139891146732,2728,"Mammalia","Rodentia","Muridae","Mammalia"
"mus_pahari",0.781153432029955,0.137752823876602,0.279055615452677,2475,"Mammalia","Rodentia","Muridae","Mammalia"
"mus_spretus",0.713119719797192,0.138894938365749,0.251578174480161,2626,"Mammalia","Rodentia","Muridae","Mammalia"
"myripristis_murdjan",0.394516722809919,0.0900478462384282,0.155758159658632,835,"Actinopterygii","Beryciformes","Holocentridae","Actinopterygii"
"naja_naja",0.98413382756069,0.147913506192995,0.426374679112326,1769,"Reptilia","Squamata","Elapidae","Sauropsida"
"nomascus_leucogenys",0.578950910283984,0.137438008774665,0.265914614354067,2962,"Mammalia","Primates","Hylobatidae","Mammalia"
"nothobranchius_furzeri",0.779822422378274,0.0921123121588216,0.151411779425735,1243,"Actinopterygii","Cyprinodontiformes","Nothobranchiidae","Actinopterygii"
"numida_meleagris",0.985004835911316,0.149450794438244,0.288085971048986,1043,"Aves","Galliformes","Numididae","Sauropsida"
"oncorhynchus_kisutch",0.894881991982021,0.0763033469996706,0.150402116652267,2376,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"oncorhynchus_mykiss",0.843079850905614,0.0803704246725567,0.148104006970252,2342,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"oncorhynchus_tshawytscha",0.883590586760352,0.0745995454959824,0.153009259225411,2295,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"oreochromis_aureus",0.936121024678093,0.0677418434702281,0.124484250739833,1006,"Actinopterygii","Cichliformes","Cichlidae","Actinopterygii"
"oreochromis_niloticus",0.822761000634893,0.0681148199942464,0.122306250658822,1006,"Actinopterygii","Cichliformes","Cichlidae","Actinopterygii"
"ornithorhynchus_anatinus",0.902577445710441,0.116256857581703,0.217618710145654,1859,"Mammalia","Monotremata","Ornithorhynchidae","Mammalia"
"oryctolagus_cuniculus",0.808648735933411,0.144328026580561,0.295335951770971,2737,"Mammalia","Lagomorpha","Leporidae","Mammalia"
"oryzias_javanicus",0.452275143547823,0.0726920417241739,0.13707600719197,810,"Actinopterygii","Beloniformes","Adrianichthyidae","Actinopterygii"
"oryzias_latipes",0.425949588578781,0.0777740412297625,0.147320547089449,734,"Actinopterygii","Beloniformes","Adrianichthyidae","Actinopterygii"
"ovis_aries_rambouillet",0.771531988890705,0.182394713749993,0.383043102363279,2628,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"pan_paniscus",0.464776196742151,0.22315365783281,0.543559934599907,3287,"Mammalia","Primates","Hominidae","Mammalia"
"pan_troglodytes",0.572098950542976,0.178976619304326,0.430414759863611,3231,"Mammalia","Primates","Hominidae","Mammalia"
"panthera_leo",0.607537030411278,0.184213358933587,0.421170010425686,2407,"Mammalia","Carnivora","Felidae","Mammalia"
"papio_anubis",0.483509377263928,0.162345671568099,0.41687160685343,2870,"Mammalia","Primates","Cercopithecidae","Mammalia"
"parambassis_ranga",0.792821762874235,0.0784885815088595,0.146888061396613,551,"Actinopterygii",NA,"Ambassidae","Actinopterygii"
"parus_major",0.977796602210944,0.167039844146793,0.297369714858341,1020,"Aves","Passeriformes","Paridae","Sauropsida"
"peromyscus_maniculatus_bairdii",0.733348766241621,0.158271970202111,0.293124435985352,2512,"Mammalia","Rodentia","Cricetidae","Mammalia"
"phocoena_sinus",0.470366526558196,0.200168539563546,0.443240082533259,2372,"Mammalia","Artiodactyla","Phocoenidae","Mammalia"
"physeter_catodon",0.430277252881259,0.166265694860229,0.361360153329063,2512,"Mammalia","Artiodactyla","Physeteridae","Mammalia"
"podarcis_muralis",0.66899259726738,0.14290317261324,0.319496940269019,1511,"Reptilia","Squamata","Lacertidae","Sauropsida"
"poecilia_reticulata",0.632507560536451,0.0638831635039608,0.125048838630662,732,"Actinopterygii","Cyprinodontiformes","Poeciliidae","Actinopterygii"
"pongo_abelii",0.403756177322762,0.209890369912577,0.50532037171311,3065,"Mammalia","Primates","Hominidae","Mammalia"
"pygocentrus_nattereri",0.827379620582059,0.0582711353880538,0.105012851634528,1222,"Actinopterygii","Characiformes","Serrasalmidae","Actinopterygii"
"rattus_norvegicus",0.745287240604521,0.154617906258923,0.348271455602326,2648,"Mammalia","Rodentia","Muridae","Mammalia"
"rhinolophus_ferrumequinum",0.374119538429289,0.221831100122877,0.430368407986304,2076,"Mammalia","Chiroptera","Rhinolophidae","Mammalia"
"salarias_fasciatus",0.480466913795893,0.0880798210071518,0.158059891686409,797,"Actinopterygii","Blenniiformes","Blenniidae","Actinopterygii"
"salmo_salar",0.903831229681081,0.0690704863825732,0.122915534269791,2757,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"salmo_trutta",0.804176581398696,0.0795167201740116,0.160390082305935,2372,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"sarcophilus_harrisii",0.96394977084826,0.057291608525383,0.0891169265271067,3087,"Mammalia","Dasyuromorphia","Dasyuridae","Mammalia"
"sciurus_vulgaris",0.79141391637761,0.185893536667718,0.58088510436397,2879,"Mammalia","Rodentia","Sciuridae","Mammalia"
"scleropages_formosus",0.869845150221343,0.0586867792959968,0.110862972109017,785,"Actinopterygii","Osteoglossiformes","Osteoglossidae","Actinopterygii"
"scophthalmus_maximus",0.198677472860358,0.215939804647886,0.701008058134752,557,"Actinopterygii","Pleuronectiformes","Scophthalmidae","Actinopterygii"
"sparus_aurata",0.415844295968003,0.0754607900305597,0.147120508895837,834,"Actinopterygii","Spariformes","Sparidae","Actinopterygii"
"sphaeramia_orbicularis",0.698495970643322,0.0724347344698743,0.136514707902419,1343,"Actinopterygii","Kurtiformes","Apogonidae","Actinopterygii"
"strigops_habroptila",0.800972557069418,0.190199117786786,0.386831202965272,1166,"Aves","Psittaciformes","Strigopidae","Sauropsida"
"suricata_suricatta",0.183532756166608,0.18978655644367,0.398307884567945,2354,"Mammalia","Carnivora","Herpestidae","Mammalia"
"sus_scrofa",0.750562944293508,0.147234779517053,0.320939556041634,2502,"Mammalia","Artiodactyla","Suidae","Mammalia"
"taeniopygia_guttata",0.963708863128566,0.161961369516304,0.285652578846577,1058,"Aves","Passeriformes","Estrildidae","Sauropsida"
"takifugu_rubripes",0.764145729644126,0.0667009733189504,0.118125763910377,384,"Actinopterygii","Tetraodontiformes","Tetraodontidae","Actinopterygii"
"tetraodon_nigroviridis",0.997730107695648,0.0506504109578523,0.0852617187941101,359,"Actinopterygii","Tetraodontiformes","Tetraodontidae","Actinopterygii"
"theropithecus_gelada",0.340174317037861,0.196658318815135,0.486838581119223,2890,"Mammalia","Primates","Cercopithecidae","Mammalia"
"xenopus_tropicalis",0.799350351771934,0.0887660311358633,0.166782471996012,1451,"Amphibia","Anura","Pipidae","Others"
"xiphophorus_couchianus",0.861618242815595,0.0674169925786897,0.118334250944971,708,"Actinopterygii","Cyprinodontiformes","Poeciliidae","Actinopterygii"
"xiphophorus_maculatus",0.576912914639606,0.0613712223191629,0.121663516754138,704,"Actinopterygii","Cyprinodontiformes","Poeciliidae","Actinopterygii"
"zalophus_californianus",0.424568852281732,0.156945750017,0.358159374298987,2409,"Mammalia","Carnifora","Otariidae","Mammalia"
