"species","prop.total","age.total","prop.dna","age.dna","prop.line","age.line","prop.ltr","age.ltr","prop.sine","age.sine","prop.unknown","age.unknown","prop.others","age.others"
"gadus_morhua",0.300473226865672,6,0.0723250104477612,4,0.0305068940298507,6,0.0222421776119403,9,0.00579820149253731,8,0.163848476119403,7,0.0057524671641791,3
"gallus_gallus",0.123724472934473,17,0.00826016429249763,14,0.06790849002849,20,0.0126209021842355,11,0.000315239316239316,27,0.0339466495726496,16,0.000673027540360874,10
"gambusia_affinis",NA,16,NA,17,NA,15,NA,6,NA,8,NA,15,NA,14
"gasterosteus_aculeatus",0.156063343220339,5,0.0400100911016949,3,0.0281949110169492,3,0.0205361483050847,4,0.00135944915254237,4,0.0630102266949153,6,0.00295251694915254,5
"geospiza_fortis",NA,18,NA,28,NA,22,NA,15,NA,20,NA,13,NA,25
"gopherus_evgoodei",0.406598245324054,13,0.0659297572857764,8,0.111542568943019,12,0.0538915872118312,11,0.0144941157024793,24,0.154201087864289,15,0.00653912831665942,14
"gorilla_gorilla",0.389025603983023,13,0.0183686542605289,15,0.127973150179563,23,0.0579317959516814,16,0.115025016650343,8,0.0498623539014039,9,0.0198646330395038,20
"homo_sapiens",0.479734892770352,17,0.0247262496962333,17,0.172646816828676,19,0.0777589993924666,15,0.121065251215067,8,0.00240263517618469,16,0.0811349404617254,21
"ictalurus_punctatus",NA,9,NA,8,NA,6,NA,10,NA,6,NA,12,NA,9
"ictidomys_tridecemlineatus",NA,20,NA,24,NA,23,NA,23,NA,15,NA,18,NA,17
"jaculus_jaculus",NA,14,NA,27,NA,15,NA,17,NA,13,NA,18,NA,25
"junco_hyemalis",0.0517269102296451,18,0.000585440501043841,28,0.024817748434238,21,0.0152612014613779,15,0.000223067849686848,30,0.0101490929018789,12,0.000690359081419624,22
"larimichthys_crocea",0.161436934650456,10,0.0370888708206687,8,0.0211637431610942,7,0.00874441641337386,10,0.00443525531914894,7,0.0878730805471125,12,0.00213156838905775,9
"lepisosteus_oculatus",0.162579989429175,14,0.0242346839323467,19,0.0358530496828753,17,0.0153282642706131,16,0.0151415983086681,8,0.0714937568710359,12,0.000528636363636364,18
"leptobrachium_leishanense",0.714800810650888,7,0.105178282333052,3,0.0935080033812341,5,0.0859204784446323,8,0.00155495097210482,7,0.423843711468019,9,0.00479538405184559,6
"lonchura_striata_domestica",NA,18,NA,26,NA,21,NA,14,NA,22,NA,17,NA,24
"loxodonta_africana",0.512903599311855,13,0.0216311354394745,17,0.330770622145762,13,0.071196989677823,16,0.0825704075695965,12,0.00652404253988114,16,0.000210401939318111,16
"lynx_canadensis",0.336515208800332,16,0.0285970448318804,18,0.171778459526775,19,0.0387566110419261,24,0.0954864873391449,9,0.00150869240348692,22,0.000387913657119137,11
"macaca_fascicularis",0.444798465932553,15,0.0252124710942877,18,0.170378569855471,19,0.0790940203028218,16,0.133861296627667,8,0.00249311631108052,24,0.033758991741225,27
"macaca_mulatta",0.529874580949175,20,0.0247807273645237,18,0.165907226523056,19,0.0770972541231909,16,0.126064238303601,8,0.00352421137664086,23,0.132500923258162,29
"macaca_nemestrina",NA,15,NA,18,NA,20,NA,16,NA,9,NA,24,NA,30
"malurus_cyaneus_samueli",0.0572240064874884,NA,0.000494793327154773,28,0.0286791084337349,NA,0.0199934411492122,13,0.00038993234476367,23,0.00752577757182576,12,0.000140953660797034,16
"marmota_marmota_marmota",NA,20,NA,24,NA,22,NA,22,NA,15,NA,18,NA,10
"mastacembelus_armatus",0.17141114527027,6,0.0403814408783784,6,0.0516696824324324,3,0.0212862956081081,7,0.00214680912162162,8,0.0535061959459459,11,0.00242072128378378,9
"maylandia_zebra",NA,6,NA,3,NA,4,NA,8,NA,6,NA,10,NA,18
"meleagris_gallopavo",0.132729921973094,15,0.00733419372197309,15,0.0735938968609866,20,0.0138223094170404,5,0.000269538116591928,28,0.0370961408071749,5,0.000613843049327354,3
"melopsittacus_undulatus",0.133087515358362,11,0.000851769624573379,28,0.0691043387372014,8,0.0293292901023891,7,0.000237058873720137,31,0.0320870281569966,30,0.00147802986348123,11
"mesocricetus_auratus",NA,19,NA,22,NA,18,NA,19,NA,19,NA,22,NA,23
"microcebus_murinus",0.309357252915159,18,0.0379362472858866,14,0.152011554081222,21,0.0493559453156413,22,0.0679336147969441,8,0.00164278930438279,20,0.000477102131081624,9
"microtus_ochrogaster",0.266489821163096,19,0.00547174202011369,21,0.0836664101442938,22,0.113276099693922,17,0.0550988535198951,19,0.00594319282903367,20,0.00303352295583734,23
"mola_mola",NA,13,NA,15,NA,7,NA,8,NA,8,NA,15,NA,19
"monodelphis_domestica",0.45666461316301,17,0.0115393657317412,18,0.229137306026104,17,0.0236232729797279,12,0.074223880866426,20,0.117313703693418,15,0.000827083865592891,0
"monodon_monoceros",0.372612008913413,16,0.0249139070458404,19,0.258251150679117,14,0.0454541417657046,21,0.0394644011035654,8,0.00301806027164686,15,0.0015103480475382,19
"moschus_moschiferus",NA,9,NA,22,NA,7,NA,22,NA,12,NA,16,NA,9
"mus_caroli",0.277915865648257,17,0.00510470740305523,22,0.123862858597728,15,0.0847456592244418,17,0.0550516024285155,19,0.0048108339208774,24,0.00434020407363886,20
"mus_musculus",0.392241120234604,12,0.00555768658357771,20,0.193458653958944,9,0.11185334127566,14,0.0627091220674487,18,0.0115358709677419,14,0.00712644538123167,18
"mus_pahari",0.274865023030303,NA,0.00502980606060606,22,0.11933928040404,15,0.0815971317171717,18,0.0571448622222222,18,0.00738551797979798,NA,0.00436842464646465,20
"mus_spretus",0.283677050647372,16,0.0049531987814166,22,0.129416797791318,14,0.0837065944402133,17,0.0533048632901752,19,0.0048808343488195,24,0.00741476199543031,17
"mustela_putorius_furo",NA,19,NA,23,NA,22,NA,25,NA,10,NA,23,NA,9
"myotis_lucifugus",NA,13,NA,7,NA,17,NA,19,NA,10,NA,12,NA,8
"naja_naja",0.423908540983607,11,0.0270805652911249,6,0.160317862068966,13,0.0643194477105709,9,0.0273659248162804,6,0.139384730921425,12,0.00544001017524025,5
"nannospalax_galili",NA,17,NA,25,NA,17,NA,18,NA,15,NA,19,NA,17
"neogobius_melanostomus",NA,6,NA,5,NA,4,NA,6,NA,6,NA,7,NA,4
"neolamprologus_brichardi",NA,12,NA,11,NA,13,NA,17,NA,9,NA,14,NA,8
"neovison_vison",NA,20,NA,23,NA,22,NA,25,NA,13,NA,19,NA,10
"nomascus_leucogenys",0.426301937204591,13,0.0242042491559757,17,0.160861981431465,18,0.0705106303173531,16,0.113448086090479,8,0.00123175557056043,23,0.0560452346387576,12
"notechis_scutatus",NA,10,NA,4,NA,11,NA,12,NA,11,NA,11,NA,5
"nothobranchius_furzeri",0.329970884151247,7,0.0705304336283186,4,0.0771459774738536,5,0.015002933226066,13,0.00798628399034594,9,0.153572508447305,9,0.005732747385358,6
"numida_meleagris",0.0890301601150527,17,0.00894057142857143,12,0.0629069300095877,20,0.00587993384467881,15,0.000212308724832215,31,0.0109124515819751,11,0.000177964525407478,21
"octodon_degus",NA,16,NA,23,NA,17,NA,21,NA,12,NA,11,NA,8
"oncorhynchus_kisutch",0.543808952441077,7,0.166369731902357,6,0.15548266540404,7,0.0186958914141414,16,0.0123221473063973,7,0.182812948232323,9,0.00812556818181818,9
"oncorhynchus_mykiss",0.52439527028181,7,0.171783737403928,5,0.123705743381725,7,0.0236454534585824,8,0.0109095811272417,7,0.183202482920581,10,0.0111482719897523,10
"oncorhynchus_tshawytscha",0.532800835729847,7,0.161655308061002,6,0.143550006971678,6,0.0216960784313725,13,0.00734762265795207,6,0.19665697211329,10,0.00189484749455338,12
"oreochromis_aureus",0.368716831013917,7,0.112821017892644,5,0.0746351689860835,6,0.0240292664015905,11,0.0134345526838966,10,0.134792645129225,9,0.00900417992047714,4
"oreochromis_niloticus",0.367871953280318,7,0.11733895526839,4,0.0779882425447316,7,0.0245807743538767,11,0.0115944741550696,6,0.123666585487078,9,0.012702921471173,2
"ornithorhynchus_anatinus",0.523368619150081,15,0.00269723238300161,26,0.252827964497041,16,0.0014259892415277,20,0.230056022054868,13,0.0362186422807961,21,0.000142768692845616,9
"oryctolagus_cuniculus",0.379174928388747,15,0.0139197387650712,22,0.135395421994885,18,0.0271509287541103,25,0.182586120204604,12,0.0187194844720497,9,0.00140323419802704,16
"oryzias_javanicus",0.399872098765432,13,0.085007324691358,10,0.0429069024691358,11,0.0174060074074074,10,0.000853688888888889,11,0.24520455308642,14,0.00849362222222222,12
"oryzias_latipes",0.364252219346049,10,0.0926200613079019,7,0.0791173010899183,5,0.0229225722070845,17,0.00340775613079019,7,0.159344835149864,12,0.00683969346049046,11
"oryzias_melastigma",NA,13,NA,12,NA,12,NA,12,NA,10,NA,13,NA,11
"ovis_aries_rambouillet",0.421214417047184,10,0.0154811236681887,22,0.298813054414003,8,0.0381222610350076,22,0.0630437872907154,11,0.00438242808219178,14,0.00137176255707763,9
"pan_paniscus",0.353635097961667,14,0.0226905147550958,17,0.1518130623669,19,0.0686463602068756,16,0.100432617584423,8,0.00140979221174323,22,0.00864275083662915,17
"pan_troglodytes",0.47103356917363,14,0.0249136453110492,17,0.17380296007428,19,0.0770031169916435,16,0.125451307025689,8,0.0427172643144537,14,0.027145275456515,24
"panthera_leo",0.32393118903199,17,0.0278712480265891,18,0.166621094723722,20,0.0395533410884919,24,0.0880670153718322,10,0.00151794266722061,26,0.000300547154133777,12
"panthera_pardus",NA,17,NA,18,NA,20,NA,24,NA,10,NA,21,NA,11
"panthera_tigris_altaica",NA,17,NA,18,NA,20,NA,24,NA,10,NA,24,NA,31
"papio_anubis",0.431377307317073,14,0.0258824797909408,18,0.173301463763066,19,0.0802393703832753,16,0.135320740069686,8,0.00154872334494774,25,0.0150845299651568,29
"parus_major",0.0525264352941177,19,0.000560720588235294,28,0.0299704343137255,22,0.0160876754901961,15,0.000418888235294118,20,0.00526313725490196,16,0.000225579411764706,22
"pelodiscus_sinensis",NA,14,NA,14,NA,12,NA,29,NA,26,NA,14,NA,10
"pelusios_castaneus",NA,14,NA,10,NA,15,NA,24,NA,26,NA,13,NA,17
"periophthalmus_magnuspinnatus",NA,11,NA,10,NA,7,NA,6,NA,10,NA,12,NA,8
"peromyscus_maniculatus_bairdii",0.3507013125,20,0.00850312977707006,25,0.105956275477707,24,0.138069179936306,18,0.081540886544586,20,0.0118071066878981,19,0.00482473407643312,20
"phascolarctos_cinereus",NA,21,NA,17,NA,21,NA,15,NA,21,NA,22,NA,20
"phasianus_colchicus",NA,18,NA,14,NA,21,NA,15,NA,27,NA,16,NA,21
"phocoena_sinus",0.375008014755481,14,0.0318643591905565,16,0.250432240303541,13,0.0496416960370995,20,0.0416508844856661,7,0.00102713996627319,18,0.000391694772344013,16
"physeter_catodon",0.345264005971338,16,0.0243942332802548,19,0.213763227707006,16,0.0443521488853503,21,0.0601234601910828,6,0.00237794267515924,19,0.000252993232484076,14
"podarcis_muralis",0.375763499669093,10,0.0576015671740569,7,0.126490978821972,10,0.0124929735274653,8,0.0179095598941099,13,0.160432064195897,11,0.000836356055592323,12
"poecilia_reticulata",0.19242437568306,12,0.073329043715847,13,0.0198818333333333,10,0.00773955464480874,4,0.00116906693989071,10,0.0885112431693989,12,0.00179363387978142,5
"pogona_vitticeps",NA,16,NA,9,NA,13,NA,27,NA,19,NA,18,NA,22
"pongo_abelii",0.454283863295269,13,0.02506524045677,17,0.180609477324633,18,0.0768530234910277,16,0.13280554812398,9,0.00299854779771615,27,0.0359520261011419,10
"prolemur_simus",NA,19,NA,15,NA,22,NA,21,NA,10,NA,19,NA,10
"pseudonaja_textilis",NA,11,NA,5,NA,11,NA,11,NA,12,NA,12,NA,5
"rattus_norvegicus",0.375504113670695,15,0.00497834516616314,21,0.217085845543807,12,0.0878618863293051,18,0.0560380581570997,19,0.00473609025679758,21,0.00480388821752266,19
"rhinolophus_ferrumequinum",0.297810280828516,18,0.0422516228323699,12,0.181849497591522,18,0.0519569402697495,21,0.0196948400770713,19,0.00185715221579961,20,0.000200227842003854,17
"rhinopithecus_bieti",NA,15,NA,18,NA,20,NA,16,NA,8,NA,23,NA,21
"saimiri_boliviensis_boliviensis",NA,15,NA,18,NA,20,NA,19,NA,10,NA,22,NA,14
"salarias_fasciatus",0.222254254705144,8,0.0475522986198243,7,0.0380414353826851,9,0.0199062772898369,12,0.00262634880803011,12,0.107589164366374,7,0.00653873023839398,12
"salmo_salar",0.540506405875952,6,0.159602397896264,5,0.12303056619514,6,0.025883741385564,11,0.0107647870874139,5,0.218730766412768,8,0.00249414689880305,8
"salmo_trutta",0.542276429173693,7,0.177341269814503,5,0.153061626475548,7,0.0226515434232715,10,0.0111838697301855,8,0.176535287942664,9,0.00150283178752108,9
"salvator_merianae",NA,15,NA,13,NA,15,NA,20,NA,15,NA,15,NA,8
"sander_lucioperca",NA,6,NA,5,NA,5,NA,10,NA,7,NA,7,NA,6
"sarcophilus_harrisii",0.448697486556527,22,0.0136395027534823,20,0.277531230968578,23,0.0170188584386135,11,0.0543672908973113,26,0.0853590016196955,21,0.000781601878846777,16
"sciurus_vulgaris",0.333422588746092,18,0.0141365550538381,24,0.190649093087878,15,0.0634921191385898,22,0.0544907964571032,17,0.0101877311566516,17,0.000466293852031956,12
"scophthalmus_maximus",0.176455490125673,14,0.0296227414721724,12,0.018349684021544,10,0.00714017773788151,10,0.00475315798922801,8,0.102158021543986,16,0.0144317073608618,5
"serinus_canaria",NA,12,NA,24,NA,21,NA,11,NA,22,NA,7,NA,16
"seriola_dumerili",NA,14,NA,11,NA,10,NA,12,NA,11,NA,15,NA,15
"sparus_aurata",0.26427671822542,9,0.0679205791366907,6,0.0298351594724221,10,0.00918834172661871,13,0.00234960911270983,8,0.148415384892086,10,0.00656764388489209,7
"sphenodon_punctatus",NA,14,NA,13,NA,16,NA,26,NA,15,NA,13,NA,13
"stachyris_ruficeps",NA,19,NA,29,NA,22,NA,16,NA,20,NA,15,NA,22
"strigops_habroptila",0.0821982855917667,8,0.000249118353344768,28,0.0494751355060034,10,0.0265977289879931,5,0.000150976843910806,30,0.00572532590051458,18,0,NA
"strix_occidentalis_caurina",NA,12,NA,28,NA,17,NA,9,NA,31,NA,10,NA,11
"struthio_camelus_australis",NA,22,NA,29,NA,20,NA,19,NA,31,NA,22,NA,15
"suricata_suricatta",0.312656724299065,19,0.0174261159728122,23,0.15415797451147,22,0.0401331435853866,24,0.0983799783347494,12,0.00169939464740867,26,0.000860117247238743,21
"sus_scrofa",0.366885118705036,15,0.015013739008793,23,0.178707362509992,20,0.0356987681854516,24,0.132548401678657,10,0.00473086370903277,24,0.000185983613109512,10
"taeniopygia_guttata",0.0768291852551985,18,0.000509175803402647,28,0.0301861115311909,20,0.0279894007561437,12,0.000348777882797732,21,0.0150171720226843,18,0.00277854725897921,24
"takifugu_rubripes",0.135584302083333,4,0.0271049609375,2,0.0473853020833333,4,0.014406125,4,0.00147277604166667,10,0.0442125442708333,8,0.00100259375,0
"terrapene_carolina_triunguis",NA,12,NA,6,NA,12,NA,14,NA,24,NA,15,NA,7
"tetraodon_nigroviridis",0.0571284401114206,8,0.0101843816155989,8,0.0151998551532033,7,0.0040008077994429,7,0.000506562674094708,4,0.0265556267409471,10,0.000681206128133705,5
"theropithecus_gelada",0.431872655363322,14,0.0253469750865052,18,0.167444348096886,19,0.0788458733564014,16,0.133720313148789,8,0.00266023287197232,24,0.0238549128027682,26
"urocitellus_parryii",NA,20,NA,24,NA,23,NA,23,NA,14,NA,22,NA,11
"ursus_maritimus",NA,19,NA,22,NA,21,NA,24,NA,10,NA,17,NA,28
"ursus_thibetanus_thibetanus",NA,19,NA,22,NA,19,NA,24,NA,10,NA,17,NA,18
"varanus_komodoensis",NA,19,NA,11,NA,15,NA,20,NA,20,NA,22,NA,34
"vombatus_ursinus",NA,21,NA,16,NA,22,NA,14,NA,21,NA,21,NA,22
"vulpes_vulpes",NA,19,NA,22,NA,22,NA,25,NA,10,NA,20,NA,12
"xenopus_tropicalis",0.440256361819435,9,0.0394267064093728,5,0.0556384707098553,6,0.0109983170227429,18,0.000564995175740868,6,0.331193042729152,9,0.00243482977257064,8
"xiphophorus_couchianus",0.145372186440678,15,0.054386656779661,16,0.0151762316384181,12,0.00372798305084746,15,0.00159491525423729,9,0.0699663276836158,14,0.000520072033898305,15
"xiphophorus_maculatus",0.233758102272727,12,0.0807839403409091,14,0.0318339375,10,0.0106395838068182,10,0.00204115767045455,8,0.101059973011364,12,0.00739950994318182,5
"zalophus_californianus",0.33910602449149,18,0.0202318875051889,21,0.208229082191781,19,0.0391607737650477,23,0.0688321677044417,9,0.00210212204234122,21,0.000549991282689913,30
"zonotrichia_albicollis",NA,18,NA,28,NA,22,NA,14,NA,25,NA,13,NA,24
"zosterops_lateralis_melanops",NA,18,NA,28,NA,21,NA,15,NA,20,NA,15,NA,21
