"file","lower","N","assem_sz"
"./GCA_946402385.1/GCA_946402385.1_AUZE-A-5.PacbioHiFiAssembly_genomic.fna",39868288,900,134860692
"./GCA_949796705.1/GCA_949796705.1_9503_genomic.fna",41176241,1600,135983558
"./GCA_903064295.1/GCA_903064295.1_AT5784.Ty-1.PacBio_genomic.fna",25703809,1039215,119797286
"./GCA_927323615.1/GCA_927323615.1_Arabidopsis_genomic.fna",35313264,0,129414358
"./GCA_024498435.1/GCA_024498435.1_ASM2449843v1_genomic.fna",31901606,14000,127151098
"./GCA_965117565.1/GCA_965117565.1_MERE-A-7.22044.PacbioHiFiAssembly_genomic.fna",40460533,800,134815460
"./GCA_946403525.1/GCA_946403525.1_BELC-C-10.PacbioHiFiAssembly_genomic.fna",40966308,500,135212578
"./GCA_036927265.1/GCA_036927265.1_ASM3692726v1_genomic.fna",38213813,6000,132492470
"./GCA_903064285.1/GCA_903064285.1_AT1741.KBS-Mac-74.PacBio_genomic.fna",25168761,997363,118889528
"./GCA_903064275.1/GCA_903064275.1_AT7213.Ler-0.PacBio_genomic.fna",25080122,702529,117836177
"./GCA_036926925.1/GCA_036926925.1_ASM3692692v1_genomic.fna",37616143,6700,131798732
"./GCA_964341275.1/GCA_964341275.1_Can0_assembly_genomic.fna",37873921,500,133089344
"./GCA_965117625.1/GCA_965117625.1_BOULO-A-16.22024.PacbioHiFiAssembly_genomic.fna",42802016,1300,139554530
"./GCA_946404075.1/GCA_946404075.1_ANGE-B-10.PacbioHiFiAssembly_genomic.fna",42298312,800,136875423
"./GCA_946406735.1/GCA_946406735.1_BARA-C-3.PacbioHiFiAssembly_genomic.fna",41387237,800,135923289
"./GCA_949796665.1/GCA_949796665.1_9879_genomic.fna",44131366,2900,140806302
"./GCA_001753755.2/GCA_001753755.2_Athal_Col0Cvi0F1_phased_diploid_1.0_genomic.fna",53663445,0,244615167
"./GCA_036927285.1/GCA_036927285.1_ASM3692728v1_genomic.fna",35851073,6404,129963076
"./GCA_946412005.1/GCA_946412005.1_IP-Hum-4.PacbioHiFiAssembly_genomic.fna",39544072,1100,133701864
"./GCA_946415625.1/GCA_946415625.1_MONTM-B-7.PacbioHiFiAssembly_genomic.fna",40896061,200,136599241
"./GCA_946408575.1/GCA_946408575.1_CAMA-C-9.PacbioHiFiAssembly_genomic.fna",40196568,1300,135007949
"./GCA_946407145.1/GCA_946407145.1_BARC-A-17.PacbioHiFiAssembly_genomic.fna",41677043,900,136636560
"./GCA_043165945.1/GCA_043165945.1_IMAGED_Live_23_genomic.fna",35021499,100,128811098
"./GCA_946414125.1/GCA_946414125.1_Cvi-0.6911.PacbioHiFiAssembly_genomic.fna",45880466,200,140384107
"./GCA_000835945.1/GCA_000835945.1_ASM83594v1_genomic.fna",28349587,0,127451232
"./GCA_949796455.1/GCA_949796455.1_7143_genomic.fna",38387254,1100,133039280
"./GCA_964199875.1/GCA_964199875.1_MA32-69.Col-0.PacbioHiFiAssembly_genomic.fna",39175212,800,134362796
"./GCA_946411375.1/GCA_946411375.1_IP-Cas-0.9831.PacbioHiFiAssembly_genomic.fna",40779505,900,135495560
"./GCA_946412065.1/GCA_946412065.1_GAIL-B-11.PacbioHiFiAssembly_genomic.fna",38615588,700,134187227
"./GCA_043165315.1/GCA_043165315.1_IMAGED_Live_14_genomic.fna",33251684,390,128594438
"./GCA_965117585.1/GCA_965117585.1_LUZE-A-12.22041.PacbioHiFiAssembly_genomic.fna",42894295,800,137963232
"./GCA_024498515.1/GCA_024498515.1_ASM2449851v1_genomic.fna",27016636,18800,120087244
"./GCA_946415445.1/GCA_946415445.1_IP-Cas-6.PacbioHiFiAssembly_genomic.fna",43367622,500,138715133
"./GCA_946499705.1/GCA_946499705.1_Col-0.6909.PacbioHiFiAssembly_genomic.fna",39191461,900,134557298
"./GCA_965117555.1/GCA_965117555.1_PREI-A-9.22054.PacbioHiFiAssembly_genomic.fna",40757834,900,135571910
"./GCA_902705455.1/GCA_902705455.1_araThaC24v1_genomic.fna",25718664,34000,119235234
"./GCA_025388435.1/GCA_025388435.1_AtA1-141.20181003_genomic.fna",25736661,162311,119748160
"./GCA_946406975.1/GCA_946406975.1_CAMA-C-2.PacbioHiFiAssembly_genomic.fna",40245566,800,135703877
"./GCA_000001735.2/GCA_000001735.2_TAIR10.1_genomic.fna",26083785,185739,119669038
"./GCA_900660825.1/GCA_900660825.1_Ath.Ler-0.MPIPZ.v1.0_genomic.fna",26047728,30500,119637757
"./GCA_965117705.1/GCA_965117705.1_MONT-B-12.22047.PacbioHiFiAssembly_genomic.fna",41959028,1000,137097327
"./GCA_946411885.1/GCA_946411885.1_IP-Mos-5.PacbioHiFiAssembly_genomic.fna",42617737,600,138054590
"./GCA_963990585.1/GCA_963990585.1_Col.TEmutant_genomic.fna",25822662,62800,119172641
"./GCA_036927435.1/GCA_036927435.1_ASM3692743v1_genomic.fna",41080547,4410,135807069
"./GCA_946413305.1/GCA_946413305.1_IP-Med-3.PacbioHiFiAssembly_genomic.fna",42958378,1000,138709983
"./GCA_964057255.1/GCA_964057255.1_Pent-46.2212.PacbioHiFiAssembly_genomic.fna",42758997,700,137944169
"./GCA_001742845.1/GCA_001742845.1_AthNd1_v1.0_genomic.fna",24973483,1219145,117217570
"./GCA_001651475.1/GCA_001651475.1_Ler_Assembly_genomic.fna",24249463,1777652,118893479
"./GCA_036927505.1/GCA_036927505.1_ASM3692750v1_genomic.fna",37052048,1500,131282650
"./GCA_965117715.1/GCA_965117715.1_GAIL-B-9.22034.PacbioHiFiAssembly_genomic.fna",41690239,1400,136525992
"./GCA_036927385.1/GCA_036927385.1_ASM3692738v1_genomic.fna",36397746,6702,130230202
"./GCA_949796655.1/GCA_949796655.1_9744_genomic.fna",40323746,1500,135766466
"./GCA_946415655.1/GCA_946415655.1_LACR-C-14.PacbioHiFiAssembly_genomic.fna",40617304,700,134758647
"./GCA_946405265.1/GCA_946405265.1_IP-Met-6.PacbioHiFiAssembly_genomic.fna",44568574,500,139933086
"./GCA_902460285.1/GCA_902460285.1_Arabidopsis_thaliana_Ler_genomic.fna",26229087,22000,120348666
"./GCA_024498455.1/GCA_024498455.1_ASM2449845v1_genomic.fna",30977394,13400,126089941
"./GCA_964057275.1/GCA_964057275.1_14INRCT07.PacbioHiFiAssembly_genomic.fna",42742293,500,137460733
"./GCA_946406525.1/GCA_946406525.1_Ler-0.7213.PacbioHiFiAssembly_genomic.fna",39669453,600,134511075
"./GCA_900243955.1/GCA_900243955.1_SALK_oxford_assembly_genomic.fna",25018897,139,119141927
"./GCA_965117485.1/GCA_965117485.1_RAYR-A-17.22055.PacbioHiFiAssembly_genomic.fna",43385432,1500,137931876
"./GCA_949796715.1/GCA_949796715.1_9830_genomic.fna",38648330,1100,132820037
"./GCA_910573875.1/GCA_910573875.1_Evry.Col-0_genomic.fna",22984135,79,117107281
"./GCA_949796635.1/GCA_949796635.1_8285_genomic.fna",42923460,1800,137917037
"./GCA_965117475.1/GCA_965117475.1_MONF-A-1.22045.PacbioHiFiAssembly_genomic.fna",43023737,600,138956182
"./GCA_946412225.1/GCA_946412225.1_IP-Mdc-14.PacbioHiFiAssembly_genomic.fna",43299755,600,137509051
"./GCA_949796755.1/GCA_949796755.1_9847_genomic.fna",39985399,1900,134776600
"./GCA_965117635.1/GCA_965117635.1_BELL-A-7.22022.PacbioHiFiAssembly_genomic.fna",42950789,1100,138422475
"./GCA_946411805.1/GCA_946411805.1_IP-Mos-9.PacbioHiFiAssembly_genomic.fna",45448450,1300,142678941
"./GCA_036927045.1/GCA_036927045.1_ASM3692704v1_genomic.fna",37094810,7100,130971206
"./GCA_965117695.1/GCA_965117695.1_CARL-A-10.22029.PacbioHiFiAssembly_genomic.fna",40868588,700,136664005
"./GCA_965117515.1/GCA_965117515.1_MONT-B-14.22048.PacbioHiFiAssembly_genomic.fna",40852937,500,137294554
"./GCA_965152635.1/GCA_965152635.1_Tsu-0.7373.PacbioHiFiAssembly_genomic.fna",39646611,400,134464031
"./GCA_949796485.1/GCA_949796485.1_9900_genomic.fna",40346752,1300,134331012
"./GCA_949796415.1/GCA_949796415.1_9762_genomic.fna",44490292,2500,140096340
"./GCA_949796605.1/GCA_949796605.1_9806_genomic.fna",42528268,1500,136184767
"./GCA_036927255.1/GCA_036927255.1_ASM3692725v1_genomic.fna",38305662,8505,132639227
"./GCA_946407795.1/GCA_946407795.1_IP-Lor-16.PacbioHiFiAssembly_genomic.fna",43458876,500,139083339
"./GCA_024498495.1/GCA_024498495.1_ASM2449849v1_genomic.fna",27739173,13700,122660761
"./GCA_965117615.1/GCA_965117615.1_JUZE-A-3.22036.PacbioHiFiAssembly_genomic.fna",43494944,400,138336372
"./GCA_965117665.1/GCA_965117665.1_JUZE-A-2.22035.PacbioHiFiAssembly_genomic.fna",46508716,1000,141806078
"./GCA_900303355.1/GCA_900303355.1_ONTmin_IT4_genomic.fna",25512745,0,119511417
"./GCA_946405525.1/GCA_946405525.1_FERR-A-12.PacbioHiFiAssembly_genomic.fna",41563658,600,135603995
"./GCA_965117535.1/GCA_965117535.1_LACR-C-4.22038.PacbioHiFiAssembly_genomic.fna",40823269,600,135410899
"./GCA_964248535.1/GCA_964248535.1_Arabidopsis_thaliana_Ag-0_genomic.fna",30641381,2100,126010481
"./GCA_024498555.1/GCA_024498555.1_ASM2449855v1_genomic.fna",29660318,11800,124618199
"./GCA_036927455.1/GCA_036927455.1_ASM3692745v1_genomic.fna",40278219,10105,134785287
"./GCA_946406595.1/GCA_946406595.1_BANI-C-12.PacbioHiFiAssembly_genomic.fna",42571990,300,138895073
"./GCA_900243945.1/GCA_900243945.1_SAIL_oxford_assembly_genomic.fna",24916447,0,119172815
"./GCA_964199905.1/GCA_964199905.1_MA32-119.Col-0.PacbioHiFiAssembly_genomic.fna",39202561,600,134637578
"./GCA_965117505.1/GCA_965117505.1_LUZE-A-14.22042.PacbioHiFiAssembly_genomic.fna",39080248,1100,134521337
"./GCA_946404385.1/GCA_946404385.1_BARA-C-5.PacbioHiFiAssembly_genomic.fna",42620019,200,137365471
"./GCA_905067165.1/GCA_905067165.1_Col-0_GKat-wt_genomic.fna",27371922,0,124091668
"./GCA_964199885.1/GCA_964199885.1_MA32-89.Col-0.PacbioHiFiAssembly_genomic.fna",39162259,700,133979568
"./GCA_946415165.1/GCA_946415165.1_IP-Evs-0.9845.PacbioHiFiAssembly_genomic.fna",43264587,400,138694687
"./GCA_900243935.1/GCA_900243935.1_Col0_oxford_assembly_genomic.fna",25650435,0,119207112
"./GCA_946406325.1/GCA_946406325.1_IP-Alo-0.9506.PacbioHiFiAssembly_genomic.fna",42027898,600,136903581
"./GCA_910574415.1/GCA_910574415.1_Evry.Ler-1_genomic.fna",23017526,0,117103988
"./GCA_964057265.1/GCA_964057265.1_LI-EF-011.685.PacbioHiFiAssembly_genomic.fna",42784497,400,137252475
"./GCA_946406895.1/GCA_946406895.1_Rabacal-1.22005.PacbioHiFiAssembly_genomic.fna",51392397,100,148251506
"./GCA_036926975.1/GCA_036926975.1_ASM3692697v1_genomic.fna",35366544,5401,129592987
"./GCA_964264635.1/GCA_964264635.1_ATRun1_SA_canu_assembly_genomic.fna",28558722,0,123973405
"./GCA_946404995.1/GCA_946404995.1_BANI-C-1.PacbioHiFiAssembly_genomic.fna",39174071,1200,134087734
"./GCA_020911765.2/GCA_020911765.2_ASM2091176v2_genomic.fna",39174205,500,133917356
"./GCA_949796375.1/GCA_949796375.1_9336_genomic.fna",42901919,1200,138386966
"./GCF_000001735.4/GCF_000001735.4_TAIR10.1_genomic.fna",26083828,185745,119669085
"./GCA_036927485.1/GCA_036927485.1_ASM3692748v1_genomic.fna",40409924,1400,137298133
"./GCA_946413405.1/GCA_946413405.1_PREI-A-14.PacbioHiFiAssembly_genomic.fna",40745949,900,135797766
"./GCA_036927375.1/GCA_036927375.1_ASM3692737v1_genomic.fna",38005671,6003,131803374
"./GCA_946404515.1/GCA_946404515.1_IP-San-9.PacbioHiFiAssembly_genomic.fna",43917059,800,139502634
"./GCA_903064315.1/GCA_903064315.1_AT6911.Cvi-0.contigs_genomic.fna",26840246,0,120624306
"./GCA_946410165.1/GCA_946410165.1_BARC-A-12.PacbioHiFiAssembly_genomic.fna",41646277,1700,136412234
"./GCA_903064325.1/GCA_903064325.1_AT7186.Kn-0.PacBio_genomic.fna",25332721,2883752,120693151
"./GCA_946406625.1/GCA_946406625.1_IP-Hom-4.9546.PacbioHiFiAssembly_genomic.fna",43403311,600,137760323
"./GCA_946499665.1/GCA_946499665.1_Ey15-2.9994.PacbioHiFiAssembly_genomic.fna",40952407,100,136135686
"./GCA_946413935.1/GCA_946413935.1_IP-Sln-22.PacbioHiFiAssembly_genomic.fna",44677632,800,140706188
"./GCA_965117605.1/GCA_965117605.1_RAYR-A-9.22056.PacbioHiFiAssembly_genomic.fna",42753050,1300,137624621
"./GCA_946414305.1/GCA_946414305.1_IP-Cat-0.9832.PacbioHiFiAssembly_genomic.fna",42323564,800,138014718
"./GCA_946405725.1/GCA_946405725.1_IP-Med-0.PacbioHiFiAssembly_genomic.fna",44544989,900,140009958
"./GCA_043165325.1/GCA_043165325.1_IMAGED_Live_20_genomic.fna",34004903,175,127957521
"./GCA_965117545.1/GCA_965117545.1_BELL-A-1.22021.PacbioHiFiAssembly_genomic.fna",42562142,1300,137606944
"./GCA_902825305.1/GCA_902825305.1_AT6909.Col-0.PacBio_genomic.fna",25670935,1315577,119777679
"./GCA_965117575.1/GCA_965117575.1_LANT-B-10.22040.PacbioHiFiAssembly_genomic.fna",38964938,500,133668503
"./GCA_900303345.1/GCA_900303345.1_PBfal_IT4_genomic.fna",26537745,0,119758075
"./GCA_946411425.1/GCA_946411425.1_IP-Hom-0.PacbioHiFiAssembly_genomic.fna",44425851,1100,141195327
"./GCA_946405545.1/GCA_946405545.1_IP-Evs-12.PacbioHiFiAssembly_genomic.fna",41688563,300,136087505
"./GCA_949796475.1/GCA_949796475.1_9883_genomic.fna",41729141,1600,136471912
"./GCA_946408975.1/GCA_946408975.1_BELC-C-12.PacbioHiFiAssembly_genomic.fna",40984415,700,135578363
"./GCA_902460275.1/GCA_902460275.1_Arabidopsis_thaliana_Cvi-0_genomic.fna",26043985,19000,119759802
"./GCA_946411655.1/GCA_946411655.1_MERE-A-13.PacbioHiFiAssembly_genomic.fna",44970264,500,141022961
"./GCA_049861075.1/GCA_049861075.1_ASM4986107v1_genomic.fna",39202120,100,133877516
"./GCA_946410485.1/GCA_946410485.1_IP-Alo-19.PacbioHiFiAssembly_genomic.fna",42218070,800,137851415
"./GCA_946408365.1/GCA_946408365.1_SALE-A-10.PacbioHiFiAssembly_genomic.fna",42232857,300,136065901
"./GCA_036927275.1/GCA_036927275.1_ASM3692727v1_genomic.fna",36730505,9302,131230311
"./GCA_946403025.1/GCA_946403025.1_FERR-A-8.PacbioHiFiAssembly_genomic.fna",43046973,900,138180243
"./GCA_036926965.1/GCA_036926965.1_ASM3692696v1_genomic.fna",33925580,3901,128197089
"./GCA_036927245.1/GCA_036927245.1_ASM3692724v1_genomic.fna",35969310,4900,129771317
"./GCA_963921125.1/GCA_963921125.1_ECA36_genomic.fna",38033759,591816,104413045
"./GCA_016989275.1/GCA_016989275.1_JU310_Canu_genomic.fna",42588461,0,114270375
"./GCA_963921055.1/GCA_963921055.1_GXW1_genomic.fna",38833891,36499,103998628
"./GCA_963921155.1/GCA_963921155.1_QX1211_genomic.fna",38416926,509362,104457475
"./GCA_963920965.1/GCA_963920965.1_JU394_genomic.fna",37381167,653870,102808602
"./GCA_963921025.1/GCA_963921025.1_N2_genomic.fna",37425683,518415,102639552
"./GCA_963921115.1/GCA_963921115.1_LKC34_genomic.fna",37296878,578856,102628003
"./GCA_000002985.3/GCA_000002985.3_WBcel235_genomic.fna",35805989,0,100272893
"./GCA_029748435.1/GCA_029748435.1_ASM2974843v1_genomic.fna",37359794,12604,102466864
"./GCA_045866515.1/GCA_045866515.1_C._elegans_AB1_1.0_genomic.fna",39988814,34,105198786
"./GCA_018136795.1/GCA_018136795.1_ASM1813679v1_genomic.fna",33010921,0,95284093
"./GCA_004526295.1/GCA_004526295.1_ASM452629v1_genomic.fna",37636245,69000,102915234
"./GCA_963921135.1/GCA_963921135.1_QX1791_genomic.fna",39537839,14274,105149760
"./GCA_016989295.1/GCA_016989295.1_EG4725_Canu_genomic.fna",38422929,0,103808585
"./GCA_963921035.1/GCA_963921035.1_PB306_genomic.fna",37680878,283865,103010992
"./GCA_016989235.1/GCA_016989235.1_MY2147_Canu_genomic.fna",38408137,0,103790488
"./GCA_018136805.1/GCA_018136805.1_ASM1813680v1_genomic.fna",33684582,0,101930759
"./GCA_028201515.1/GCA_028201515.1_ASM2820151v1_genomic.fna",35928204,4610,100432384
"./GCA_016989455.1/GCA_016989455.1_ECA36_Canu_genomic.fna",39238708,0,105617765
"./GCA_039880965.1/GCA_039880965.1_ASM3988096v1_genomic.fna",37731241,8996,102742907
"./GCA_033458355.1/GCA_033458355.1_ASM3345835v1_genomic.fna",37641394,0,102805294
"./GCA_963921005.1/GCA_963921005.1_EG4725_genomic.fna",36951655,949636,102467934
"./GCA_016989105.1/GCA_016989105.1_MY2693_Canu_genomic.fna",37714375,0,102916300
"./GCA_018136875.1/GCA_018136875.1_ASM1813687v1_genomic.fna",35768354,763,104635556
"./GCA_013403715.1/GCA_013403715.1_ASM1340371v1_genomic.fna",37897356,0,103070756
"./GCA_963921145.1/GCA_963921145.1_CB4856_genomic.fna",37969721,145322,103222808
"./GCA_020450165.1/GCA_020450165.1_ASM2045016v1_genomic.fna",37589253,51000,102934835
"./GCA_016989125.1/GCA_016989125.1_XZ1516_Canu_genomic.fna",38893150,0,105802722
"./GCA_963921105.1/GCA_963921105.1_AB1_genomic.fna",38223383,255955,103400626
"./GCA_963921095.1/GCA_963921095.1_MY23_genomic.fna",37107262,736708,102930859
"./GCA_016989365.1/GCA_016989365.1_JU1400_Canu_genomic.fna",37866827,0,103280251
"./GCA_033458345.1/GCA_033458345.1_ASM3345834v1_genomic.fna",38401874,0,104091729
"./GCA_016989385.1/GCA_016989385.1_ECA396_Canu_genomic.fna",37929439,0,103285966
"./GCA_963920985.1/GCA_963920985.1_EG4946_genomic.fna",37056862,1355379,102991350
"./GCA_028201415.1/GCA_028201415.1_ASM2820141v1_genomic.fna",34983551,0,98826512
"./GCA_963921085.1/GCA_963921085.1_ECA248_genomic.fna",37620441,700977,103160304
"./GCA_963920995.1/GCA_963920995.1_DL200_genomic.fna",38034590,115041,103086464
"./GCA_963921075.1/GCA_963921075.1_JU775_genomic.fna",37758895,508426,103096475
"./GCA_963921045.1/GCA_963921045.1_JT11398_genomic.fna",37718970,657293,102945794
"./GCA_963921065.1/GCA_963921065.1_JU751_genomic.fna",37370359,469895,103232102
"./GCA_030248285.1/GCA_030248285.1_ASM3024828v1_genomic.fna",35856495,966,100994322
"./GCA_022984815.1/GCA_022984815.1_Ce_DL226_genomic.fna",38226573,5700,103468329
"./GCF_000002985.6/GCF_000002985.6_WBcel235_genomic.fna",35806036,7,100286762
"./GCA_000975215.1/GCA_000975215.1_Cael_CB4856_1.0_genomic.fna",34758099,4593,98304522
"./GCA_000939815.1/GCA_000939815.1_C_elegans_Bristol_N2_v1_5_4_genomic.fna",34898784,2577340,101581874
"./GCA_963921015.1/GCA_963921015.1_PS2025_genomic.fna",37516483,358946,102737776
"./GCA_963920975.1/GCA_963920975.1_DL238_genomic.fna",38957948,166768,104466161
"./GCA_016989285.1/GCA_016989285.1_JU2526_Canu_genomic.fna",37686486,0,102926468
"./GCA_027422425.1/GCA_027422425.1_ASM2742242v1_genomic.fna",37981960,436,106799940
"./GCA_027422445.1/GCA_027422445.1_ASM2742244v1_genomic.fna",39283716,0,106885491
"./GCA_016989115.1/GCA_016989115.1_NIC526_Canu_genomic.fna",38411016,160,104186332
"./GCA_016989095.1/GCA_016989095.1_QX1794_Canu_genomic.fna",40399202,0,108697910
"./GCA_016989145.1/GCA_016989145.1_NIC2_Canu_genomic.fna",37857410,178,103065690
"./GCA_016989505.1/GCA_016989505.1_DL238_Canu_genomic.fna",37986258,118,103405062
"./GCA_016989245.1/GCA_016989245.1_JU2600_Canu_genomic.fna",38438670,0,104150782
"./GCA_018136835.1/GCA_018136835.1_ASM1813683v1_genomic.fna",33394718,0,96045816
"./GCA_015852585.1/GCA_015852585.1_ASM1585258v1_genomic.fna",41714710,62200,167835336
"./GCA_029775735.1/GCA_029775735.1_ASM2977573v1_genomic.fna",26800639,234174,133881014
"./GCA_029775155.1/GCA_029775155.1_ASM2977515v1_genomic.fna",26845411,234174,133881014
"./GCA_020142105.1/GCA_020142105.1_ASM2014210v1_genomic.fna",31621246,13469,141349493
"./GCA_020141495.1/GCA_020141495.1_ASM2014149v1_genomic.fna",29397374,15801,141072162
"./GCA_024500395.1/GCA_024500395.1_UCI_ORw1118_1.0_genomic.fna",49698492,11443,177220459
"./GCA_020142085.1/GCA_020142085.1_ASM2014208v1_genomic.fna",28602991,17873,138118142
"./GCA_029775415.1/GCA_029775415.1_ASM2977541v1_genomic.fna",26853520,234174,133881014
"./GCA_020141745.1/GCA_020141745.1_ASM2014174v1_genomic.fna",32483900,94019,143475387
"./GCA_020141485.1/GCA_020141485.1_ASM2014148v1_genomic.fna",28366451,22627,138090438
"./GCA_927720205.1/GCA_927720205.1_dmgoth63_genome_assembly_genomic.fna",26760807,90901,134585605
"./GCA_029775615.1/GCA_029775615.1_ASM2977561v1_genomic.fna",26812150,234174,133881014
"./GCA_020141655.1/GCA_020141655.1_ASM2014165v1_genomic.fna",32237583,15927,141906323
"./GCA_029775495.1/GCA_029775495.1_ASM2977549v1_genomic.fna",26783620,234174,133881014
"./GCA_020141925.1/GCA_020141925.1_ASM2014192v1_genomic.fna",32063931,31377,143862570
"./GCA_029775555.1/GCA_029775555.1_ASM2977555v1_genomic.fna",26803868,234174,133881014
"./GCA_020141935.1/GCA_020141935.1_ASM2014193v1_genomic.fna",27813269,18844,137105072
"./GCA_020141675.1/GCA_020141675.1_ASM2014167v1_genomic.fna",31307009,15901,141214848
"./GCA_020141765.1/GCA_020141765.1_ASM2014176v1_genomic.fna",30374704,17762,139994314
"./GCA_000001215.4/GCA_000001215.4_Release_6_plus_ISO1_MT_genomic.fna",32123836,1153151,143850924
"./GCA_927718685.1/GCA_927718685.1_dmsj7_genome_assembly_genomic.fna",24511891,109601,131483978
"./GCA_029775135.1/GCA_029775135.1_ASM2977513v1_genomic.fna",26840318,234174,133881014
"./GCA_034768405.1/GCA_034768405.1_RU_dmel_BG3_1.0_genomic.fna",30095206,77500,141963729
"./GCA_029775235.1/GCA_029775235.1_ASM2977523v1_genomic.fna",26856672,234174,133881014
"./GCA_029775695.1/GCA_029775695.1_ASM2977569v1_genomic.fna",26779579,234174,133881014
"./GCA_042606445.1/GCA_042606445.1_ASM4260644v1_genomic.fna",49017940,24000,168578526
"./GCA_004798055.1/GCA_004798055.1_DGRP379_genomic.fna",25959383,70556,133412779
"./GCA_029775715.1/GCA_029775715.1_ASM2977571v1_genomic.fna",26798135,234174,133881014
"./GCA_029775755.1/GCA_029775755.1_ASM2977575v1_genomic.fna",26793380,234174,133881014
"./GCA_020141705.1/GCA_020141705.1_ASM2014170v1_genomic.fna",32391457,124966,144760471
"./GCA_029775315.1/GCA_029775315.1_ASM2977531v1_genomic.fna",26844328,234174,133881014
"./GCA_020141835.1/GCA_020141835.1_ASM2014183v1_genomic.fna",34512022,35579,147986902
"./GCA_020141985.1/GCA_020141985.1_ASM2014198v1_genomic.fna",28622308,39217,138736144
"./GCA_029775535.1/GCA_029775535.1_ASM2977553v1_genomic.fna",26783464,234174,133881014
"./GCA_042606455.1/GCA_042606455.1_ASM4260645v1_genomic.fna",52217862,16000,172478845
"./GCA_020141585.1/GCA_020141585.1_ASM2014158v1_genomic.fna",32071607,166234,143740521
"./GCA_003401925.1/GCA_003401925.1_ASM340192v1_genomic.fna",27620373,5800,135980208
