"clade","thrs","repeat","phylosig","n","stat","intercept","median.trans","rep.prop","median.trans:rep.prop","f2"
"Total",0.01,"sine","TRUE","101","p",0.000420419945207584,NA,NA,NA,0
"Total",0.01,"sine","TRUE","101","beta",0.811666422401972,NA,NA,NA,0
"Total",0.01,"ltr","TRUE","101","p",4.26278072840347e-07,0.000188020359396024,NA,NA,0.152098827750671
"Total",0.01,"ltr","TRUE","101","beta",1.95863756584459,-1.41562332667529,NA,NA,0.152098827750671
"Total",0.01,"dna","TRUE","101","p",3.52707429065457e-05,NA,0.0183085467960673,NA,0.0581365822774539
"Total",0.01,"dna","TRUE","101","beta",1.00349332726705,NA,-2.86654239013496,NA,0.0581365822774539
"Total",0.01,"rc","TRUE","100","p",2.3086177125986e-05,NA,7.76719342225896e-05,NA,0.173665643680636
"Total",0.01,"rc","TRUE","100","beta",0.931017621398576,NA,-27.502471578594,NA,0.173665643680636
"Mammalia",0.01,"total","TRUE","46","p",2.02785310419173e-05,0.00208171271179669,NA,NA,0.2433141892104
"Mammalia",0.01,"total","TRUE","46","beta",2.03568335559204,-1.68110802975101,NA,NA,0.2433141892104
"Mammalia",0.01,"line","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.01,"line","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.01,"sine","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.01,"sine","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.01,"ltr","TRUE","46","p",0.000340405978139335,0.00779404440210651,NA,NA,0.176715466598237
"Mammalia",0.01,"ltr","TRUE","46","beta",2.49095361789808,-2.33747942552277,NA,NA,0.176715466598237
"Mammalia",0.01,"dna","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.01,"dna","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.01,"rc","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.01,"rc","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Actinopterygii",0.01,"total","FALSE","46","p",0.058271786395882,0.175839148733101,0.0800387611529991,0.0756117742211169,0.108332943016293
"Actinopterygii",0.01,"total","FALSE","46","beta",2.39402432565032,-1.97839322719189,-8.96839992686948,10.4651743425477,0.108332943016293
"Actinopterygii",0.01,"line","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.01,"line","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.01,"sine","FALSE","46","p",8.02065304212551e-20,NA,0.0220694607718823,NA,0.1279985155653
"Actinopterygii",0.01,"sine","FALSE","46","beta",0.643711707749782,NA,14.1881544277242,NA,0.1279985155653
"Actinopterygii",0.01,"ltr","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.01,"ltr","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.01,"dna","FALSE","46","p",9.69345998033967e-17,NA,0.101162244663393,NA,0.0637125959729107
"Actinopterygii",0.01,"dna","FALSE","46","beta",0.648749361573257,NA,0.816215273992969,NA,0.0637125959729107
"Actinopterygii",0.01,"rc","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.01,"rc","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Sauria",0.01,"total","TRUE","19","p",0.000652292133876742,0.0599051375969331,NA,NA,0.239034071625293
"Sauria",0.01,"total","TRUE","19","beta",1.62553866604779,-0.955590612134992,NA,NA,0.239034071625293
"Sauria",0.01,"line","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.01,"line","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.01,"sine","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.01,"sine","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.01,"ltr","FALSE","54","p",0.960474375786617,0.0726714035259419,NA,NA,0.0645474035097796
"Sauria",0.01,"ltr","FALSE","54","beta",-0.0195251726877549,0.900647562724177,NA,NA,0.0645474035097796
"Sauria",0.01,"dna","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.01,"dna","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.01,"rc","TRUE","18","p",1.02842409432924e-06,NA,NA,NA,0
"Sauria",0.01,"rc","TRUE","18","beta",0.867734602030614,NA,NA,NA,0
"Total",0.02,"total","TRUE","101","p",1.34670294027472e-07,6.07276817516933e-05,NA,NA,0.177311615936058
"Total",0.02,"total","TRUE","101","beta",2.07725865367975,-1.53812734027669,NA,NA,0.177311615936058
"Total",0.02,"line","TRUE","101","p",0.000786013921408424,0.103594096742635,NA,NA,0.0272609760481622
"Total",0.02,"line","TRUE","101","beta",1.32475910722777,-0.621407248226789,NA,NA,0.0272609760481622
"Total",0.02,"sine","TRUE","101","p",0.000420419945207584,NA,NA,NA,0
"Total",0.02,"sine","TRUE","101","beta",0.811666422401972,NA,NA,NA,0
"Total",0.02,"ltr","TRUE","101","p",4.26278072840347e-07,0.000188020359396024,NA,NA,0.152098827750671
"Total",0.02,"ltr","TRUE","101","beta",1.95863756584459,-1.41562332667529,NA,NA,0.152098827750671
"Total",0.02,"dna","TRUE","101","p",3.52707429065457e-05,NA,0.0183085467960673,NA,0.0581365822774539
"Total",0.02,"dna","TRUE","101","beta",1.00349332726705,NA,-2.86654239013496,NA,0.0581365822774539
"Total",0.02,"rc","TRUE","100","p",2.3086177125986e-05,NA,7.76719342225896e-05,NA,0.173665643680636
"Total",0.02,"rc","TRUE","100","beta",0.931017621398576,NA,-27.502471578594,NA,0.173665643680636
"Mammalia",0.02,"total","TRUE","46","p",2.02785310419173e-05,0.00208171271179669,NA,NA,0.2433141892104
"Mammalia",0.02,"total","TRUE","46","beta",2.03568335559204,-1.68110802975101,NA,NA,0.2433141892104
"Mammalia",0.02,"line","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.02,"line","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.02,"sine","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.02,"sine","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.02,"ltr","TRUE","46","p",0.000340405978139335,0.00779404440210651,NA,NA,0.176715466598237
"Mammalia",0.02,"ltr","TRUE","46","beta",2.49095361789808,-2.33747942552277,NA,NA,0.176715466598237
"Mammalia",0.02,"dna","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.02,"dna","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.02,"rc","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.02,"rc","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Actinopterygii",0.02,"total","FALSE","46","p",0.058271786395882,0.175839148733101,0.0800387611529991,0.0756117742211169,0.108332943016293
"Actinopterygii",0.02,"total","FALSE","46","beta",2.39402432565032,-1.97839322719189,-8.96839992686948,10.4651743425477,0.108332943016293
"Actinopterygii",0.02,"line","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.02,"line","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.02,"sine","FALSE","46","p",8.02065304212551e-20,NA,0.0220694607718823,NA,0.1279985155653
"Actinopterygii",0.02,"sine","FALSE","46","beta",0.643711707749782,NA,14.1881544277242,NA,0.1279985155653
"Actinopterygii",0.02,"ltr","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.02,"ltr","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.02,"dna","FALSE","46","p",9.69345998033967e-17,NA,0.101162244663393,NA,0.0637125959729107
"Actinopterygii",0.02,"dna","FALSE","46","beta",0.648749361573257,NA,0.816215273992969,NA,0.0637125959729107
"Actinopterygii",0.02,"rc","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.02,"rc","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Sauria",0.02,"total","TRUE","19","p",0.000652292133876742,0.0599051375969331,NA,NA,0.239034071625293
"Sauria",0.02,"total","TRUE","19","beta",1.62553866604779,-0.955590612134992,NA,NA,0.239034071625293
"Sauria",0.02,"line","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.02,"line","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.02,"sine","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.02,"sine","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.02,"ltr","FALSE","54","p",0.960474375786617,0.0726714035259419,NA,NA,0.0645474035097796
"Sauria",0.02,"ltr","FALSE","54","beta",-0.0195251726877549,0.900647562724177,NA,NA,0.0645474035097796
"Sauria",0.02,"dna","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.02,"dna","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.02,"rc","TRUE","18","p",1.02842409432924e-06,NA,NA,NA,0
"Sauria",0.02,"rc","TRUE","18","beta",0.867734602030614,NA,NA,NA,0
"Total",0.03,"total","TRUE","101","p",1.34670294027472e-07,6.07276817516933e-05,NA,NA,0.177311615936058
"Total",0.03,"total","TRUE","101","beta",2.07725865367975,-1.53812734027669,NA,NA,0.177311615936058
"Total",0.03,"line","TRUE","101","p",0.000786013921408424,0.103594096742635,NA,NA,0.0272609760481622
"Total",0.03,"line","TRUE","101","beta",1.32475910722777,-0.621407248226789,NA,NA,0.0272609760481622
"Total",0.03,"sine","TRUE","101","p",0.000420419945207584,NA,NA,NA,0
"Total",0.03,"sine","TRUE","101","beta",0.811666422401972,NA,NA,NA,0
"Total",0.03,"ltr","TRUE","101","p",4.26278072840347e-07,0.000188020359396024,NA,NA,0.152098827750671
"Total",0.03,"ltr","TRUE","101","beta",1.95863756584459,-1.41562332667529,NA,NA,0.152098827750671
"Total",0.03,"dna","TRUE","101","p",3.52707429065457e-05,NA,0.0183085467960673,NA,0.0581365822774539
"Total",0.03,"dna","TRUE","101","beta",1.00349332726705,NA,-2.86654239013496,NA,0.0581365822774539
"Total",0.03,"rc","TRUE","100","p",2.3086177125986e-05,NA,7.76719342225896e-05,NA,0.173665643680636
"Total",0.03,"rc","TRUE","100","beta",0.931017621398576,NA,-27.502471578594,NA,0.173665643680636
"Mammalia",0.03,"total","TRUE","46","p",2.02785310419173e-05,0.00208171271179669,NA,NA,0.2433141892104
"Mammalia",0.03,"total","TRUE","46","beta",2.03568335559204,-1.68110802975101,NA,NA,0.2433141892104
"Mammalia",0.03,"line","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.03,"line","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.03,"sine","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.03,"sine","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.03,"ltr","TRUE","46","p",0.000340405978139335,0.00779404440210651,NA,NA,0.176715466598237
"Mammalia",0.03,"ltr","TRUE","46","beta",2.49095361789808,-2.33747942552277,NA,NA,0.176715466598237
"Mammalia",0.03,"dna","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.03,"dna","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.03,"rc","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.03,"rc","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Actinopterygii",0.03,"total","FALSE","46","p",0.058271786395882,0.175839148733101,0.0800387611529991,0.0756117742211169,0.108332943016293
"Actinopterygii",0.03,"total","FALSE","46","beta",2.39402432565032,-1.97839322719189,-8.96839992686948,10.4651743425477,0.108332943016293
"Actinopterygii",0.03,"line","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.03,"line","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.03,"sine","FALSE","46","p",8.02065304212551e-20,NA,0.0220694607718823,NA,0.1279985155653
"Actinopterygii",0.03,"sine","FALSE","46","beta",0.643711707749782,NA,14.1881544277242,NA,0.1279985155653
"Actinopterygii",0.03,"ltr","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.03,"ltr","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.03,"dna","FALSE","46","p",9.69345998033967e-17,NA,0.101162244663393,NA,0.0637125959729107
"Actinopterygii",0.03,"dna","FALSE","46","beta",0.648749361573257,NA,0.816215273992969,NA,0.0637125959729107
"Actinopterygii",0.03,"rc","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.03,"rc","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Sauria",0.03,"total","TRUE","19","p",0.000652292133876742,0.0599051375969331,NA,NA,0.239034071625293
"Sauria",0.03,"total","TRUE","19","beta",1.62553866604779,-0.955590612134992,NA,NA,0.239034071625293
"Sauria",0.03,"line","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.03,"line","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.03,"sine","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.03,"sine","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.03,"ltr","FALSE","53","p",0.666124263568402,0.0214574878308261,NA,NA,0.11040343100869
"Sauria",0.03,"ltr","FALSE","53","beta",-0.159495462034156,1.09538305549956,NA,NA,0.11040343100869
"Sauria",0.03,"dna","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.03,"dna","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.03,"rc","TRUE","18","p",1.02842409432924e-06,NA,NA,NA,0
"Sauria",0.03,"rc","TRUE","18","beta",0.867734602030614,NA,NA,NA,0
"Total",0.04,"total","TRUE","101","p",1.34670294027472e-07,6.07276817516933e-05,NA,NA,0.177311615936058
"Total",0.04,"total","TRUE","101","beta",2.07725865367975,-1.53812734027669,NA,NA,0.177311615936058
"Total",0.04,"line","TRUE","101","p",0.000786013921408424,0.103594096742635,NA,NA,0.0272609760481622
"Total",0.04,"line","TRUE","101","beta",1.32475910722777,-0.621407248226789,NA,NA,0.0272609760481622
"Total",0.04,"sine","TRUE","101","p",0.000420419945207584,NA,NA,NA,0
"Total",0.04,"sine","TRUE","101","beta",0.811666422401972,NA,NA,NA,0
"Total",0.04,"ltr","TRUE","101","p",4.26278072840347e-07,0.000188020359396024,NA,NA,0.152098827750671
"Total",0.04,"ltr","TRUE","101","beta",1.95863756584459,-1.41562332667529,NA,NA,0.152098827750671
"Total",0.04,"dna","TRUE","101","p",3.52707429065457e-05,NA,0.0183085467960673,NA,0.0581365822774539
"Total",0.04,"dna","TRUE","101","beta",1.00349332726705,NA,-2.86654239013496,NA,0.0581365822774539
"Total",0.04,"rc","TRUE","100","p",2.3086177125986e-05,NA,7.76719342225896e-05,NA,0.173665643680636
"Total",0.04,"rc","TRUE","100","beta",0.931017621398576,NA,-27.502471578594,NA,0.173665643680636
"Mammalia",0.04,"total","TRUE","46","p",2.02785310419173e-05,0.00208171271179669,NA,NA,0.2433141892104
"Mammalia",0.04,"total","TRUE","46","beta",2.03568335559204,-1.68110802975101,NA,NA,0.2433141892104
"Mammalia",0.04,"line","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.04,"line","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.04,"sine","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.04,"sine","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.04,"ltr","TRUE","46","p",0.000340405978139335,0.00779404440210651,NA,NA,0.176715466598237
"Mammalia",0.04,"ltr","TRUE","46","beta",2.49095361789808,-2.33747942552277,NA,NA,0.176715466598237
"Mammalia",0.04,"dna","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.04,"dna","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.04,"rc","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.04,"rc","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Actinopterygii",0.04,"total","FALSE","46","p",0.058271786395882,0.175839148733101,0.0800387611529991,0.0756117742211169,0.108332943016293
"Actinopterygii",0.04,"total","FALSE","46","beta",2.39402432565032,-1.97839322719189,-8.96839992686948,10.4651743425477,0.108332943016293
"Actinopterygii",0.04,"line","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.04,"line","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.04,"sine","FALSE","46","p",8.02065304212551e-20,NA,0.0220694607718823,NA,0.1279985155653
"Actinopterygii",0.04,"sine","FALSE","46","beta",0.643711707749782,NA,14.1881544277242,NA,0.1279985155653
"Actinopterygii",0.04,"ltr","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.04,"ltr","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.04,"dna","FALSE","46","p",9.69345998033967e-17,NA,0.101162244663393,NA,0.0637125959729107
"Actinopterygii",0.04,"dna","FALSE","46","beta",0.648749361573257,NA,0.816215273992969,NA,0.0637125959729107
"Actinopterygii",0.04,"rc","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.04,"rc","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Sauria",0.04,"total","TRUE","19","p",0.000652292133876742,0.0599051375969331,NA,NA,0.239034071625293
"Sauria",0.04,"total","TRUE","19","beta",1.62553866604779,-0.955590612134992,NA,NA,0.239034071625293
"Sauria",0.04,"line","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.04,"line","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.04,"sine","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.04,"sine","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.04,"ltr","TRUE","19","p",0.000175990318300956,0.0615518034799112,NA,NA,0.235669209364214
"Sauria",0.04,"ltr","TRUE","19","beta",1.42739670182062,-0.691562476058804,NA,NA,0.235669209364214
"Sauria",0.04,"dna","TRUE","19","p",4.88701925593915e-07,NA,NA,NA,0
"Sauria",0.04,"dna","TRUE","19","beta",0.867465882115564,NA,NA,NA,0
"Sauria",0.04,"rc","TRUE","18","p",1.02842409432924e-06,NA,NA,NA,0
"Sauria",0.04,"rc","TRUE","18","beta",0.867734602030614,NA,NA,NA,0
"Total",0.05,"total","TRUE","101","p",1.34670294027472e-07,6.07276817516933e-05,NA,NA,0.177311615936058
"Total",0.05,"total","TRUE","101","beta",2.07725865367975,-1.53812734027669,NA,NA,0.177311615936058
"Total",0.05,"line","TRUE","101","p",0.000786013921408424,0.103594096742635,NA,NA,0.0272609760481622
"Total",0.05,"line","TRUE","101","beta",1.32475910722777,-0.621407248226789,NA,NA,0.0272609760481622
"Total",0.05,"sine","TRUE","101","p",0.000420419945207584,NA,NA,NA,0
"Total",0.05,"sine","TRUE","101","beta",0.811666422401972,NA,NA,NA,0
"Total",0.05,"ltr","TRUE","101","p",4.26278072840347e-07,0.000188020359396024,NA,NA,0.152098827750671
"Total",0.05,"ltr","TRUE","101","beta",1.95863756584459,-1.41562332667529,NA,NA,0.152098827750671
"Total",0.05,"dna","TRUE","101","p",3.52707429065457e-05,NA,0.0183085467960673,NA,0.0581365822774539
"Total",0.05,"dna","TRUE","101","beta",1.00349332726705,NA,-2.86654239013496,NA,0.0581365822774539
"Total",0.05,"rc","TRUE","100","p",2.3086177125986e-05,NA,7.76719342225896e-05,NA,0.173665643680636
"Total",0.05,"rc","TRUE","100","beta",0.931017621398576,NA,-27.502471578594,NA,0.173665643680636
"Mammalia",0.05,"total","TRUE","46","p",2.02785310419173e-05,0.00208171271179669,NA,NA,0.2433141892104
"Mammalia",0.05,"total","TRUE","46","beta",2.03568335559204,-1.68110802975101,NA,NA,0.2433141892104
"Mammalia",0.05,"line","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.05,"line","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.05,"sine","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.05,"sine","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.05,"ltr","TRUE","46","p",0.000340405978139335,0.00779404440210651,NA,NA,0.176715466598237
"Mammalia",0.05,"ltr","TRUE","46","beta",2.49095361789808,-2.33747942552277,NA,NA,0.176715466598237
"Mammalia",0.05,"dna","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.05,"dna","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Mammalia",0.05,"rc","TRUE","46","p",0.00053393055974138,NA,NA,NA,0
"Mammalia",0.05,"rc","TRUE","46","beta",0.789946163038712,NA,NA,NA,0
"Actinopterygii",0.05,"total","FALSE","46","p",0.058271786395882,0.175839148733101,0.0800387611529991,0.0756117742211169,0.108332943016293
"Actinopterygii",0.05,"total","FALSE","46","beta",2.39402432565032,-1.97839322719189,-8.96839992686948,10.4651743425477,0.108332943016293
"Actinopterygii",0.05,"line","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.05,"line","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.05,"sine","FALSE","46","p",8.02065304212551e-20,NA,0.0220694607718823,NA,0.1279985155653
"Actinopterygii",0.05,"sine","FALSE","46","beta",0.643711707749782,NA,14.1881544277242,NA,0.1279985155653
"Actinopterygii",0.05,"ltr","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.05,"ltr","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
"Actinopterygii",0.05,"dna","FALSE","46","p",9.69345998033967e-17,NA,0.101162244663393,NA,0.0637125959729107
"Actinopterygii",0.05,"dna","FALSE","46","beta",0.648749361573257,NA,0.816215273992969,NA,0.0637125959729107
"Actinopterygii",0.05,"rc","FALSE","46","p",4.5522281930617e-30,NA,NA,NA,0
"Actinopterygii",0.05,"rc","FALSE","46","beta",0.720336239636935,NA,NA,NA,0
