species,divergence,sequence.lengths.Mbp,percent.of.genome,repeat.group
Ailuropoda melanoleuca,41,0.312269,0.0127766469140895,SINE
Ailuropoda melanoleuca,42,0.23908,0.00978208129599965,SINE
Ailuropoda melanoleuca,43,0.186239,0.00762006457455948,SINE
Ailuropoda melanoleuca,44,0.143968,0.00589052484533411,SINE
Ailuropoda melanoleuca,45,0.094726,0.00387576306192431,SINE
Ailuropoda melanoleuca,46,0.064158,0.00262505760326563,SINE
Ailuropoda melanoleuca,47,0.051435,0.00210448950752778,SINE
Ailuropoda melanoleuca,48,0.033346,0.00136436875897777,SINE
Ailuropoda melanoleuca,49,0.021712,0.000888357658937362,SINE
Ailuropoda melanoleuca,50,0.017006,0.000695809245941819,SINE
Ailuropoda melanoleuca,51,0.009453,0.000386774362100906,SINE
Ailuropoda melanoleuca,52,0.006108,0.000249911964848444,SINE
Ailuropoda melanoleuca,53,0.004409,0.00018039650507806,SINE
Ailuropoda melanoleuca,54,0.002546,0.000104170900868392,SINE
Ailuropoda melanoleuca,55,0.002233,9.13643447129297e-05,SINE
Ailuropoda melanoleuca,56,0.001831,7.49163077337099e-05,SINE
Ailuropoda melanoleuca,57,0.00086,3.51873427913657e-05,SINE
Ailuropoda melanoleuca,58,0.000731,2.99092413726608e-05,SINE
Ailuropoda melanoleuca,59,0.000332,1.35839509380621e-05,SINE
Ailuropoda melanoleuca,60,0.00029,1.18654993133675e-05,SINE
Ailuropoda melanoleuca,61,0.000457,1.86983902972722e-05,SINE
Ailuropoda melanoleuca,62,0,0,SINE
Ailuropoda melanoleuca,63,0.000172,7.03746855827313e-06,SINE
Ailuropoda melanoleuca,64,0,0,SINE
Ailuropoda melanoleuca,65,0,0,SINE
Ailuropoda melanoleuca,66,0,0,SINE
Ailuropoda melanoleuca,67,0,0,SINE
Ailuropoda melanoleuca,68,0,0,SINE
Ailuropoda melanoleuca,69,0,0,SINE
Ailuropoda melanoleuca,70,0,0,SINE
Ailuropoda melanoleuca,0,0.198585,0.00812520752118994,Unknown
Ailuropoda melanoleuca,1,0.017569,0.000718844680815702,Unknown
Ailuropoda melanoleuca,2,0.144583,0.00591568788698142,Unknown
Ailuropoda melanoleuca,3,0.258572,0.0105796065119174,Unknown
Ailuropoda melanoleuca,4,0.321982,0.0131740593100576,Unknown
Ailuropoda melanoleuca,5,0.600007,0.0245495953328127,Unknown
Ailuropoda melanoleuca,6,0.695505,0.0284569451722195,Unknown
Ailuropoda melanoleuca,7,0.647393,0.026488417920617,Unknown
Ailuropoda melanoleuca,8,0.725294,0.0296757774447916,Unknown
Ailuropoda melanoleuca,9,0.56429,0.0230882158880695,Unknown
Ailuropoda melanoleuca,10,0.479678,0.0196262723435776,Unknown
Ailuropoda melanoleuca,11,0.354956,0.0145232074975023,Unknown
Ailuropoda melanoleuca,12,0.30376,0.0124284967980293,Unknown
Ailuropoda melanoleuca,13,0.205882,0.00842376803322319,Unknown
Ailuropoda melanoleuca,14,0.189722,0.00776257331286451,Unknown
Ailuropoda melanoleuca,15,0.214148,0.00876197567916904,Unknown
Ailuropoda melanoleuca,16,0.256987,0.0105147554208427,Unknown
Ailuropoda melanoleuca,17,0.229014,0.00937022572328118,Unknown
Ailuropoda melanoleuca,18,0.217972,0.008918436608046,Unknown
Ailuropoda melanoleuca,19,0.158096,0.00646857923946947,Unknown
Ailuropoda melanoleuca,20,0.1096,0.00448434043015544,Unknown
Ailuropoda melanoleuca,21,0.111328,0.00455504243985716,Unknown
Ailuropoda melanoleuca,22,0.109296,0.00447190211363384,Unknown
Ailuropoda melanoleuca,23,0.135347,0.0055377921916081,Unknown
Ailuropoda melanoleuca,24,0.13127,0.0053709796374681,Unknown
Ailuropoda melanoleuca,25,0.146676,0.00600132405961203,Unknown
Ailuropoda melanoleuca,26,0.13552,0.00554487057568125,Unknown
Ailuropoda melanoleuca,27,0.123087,0.00503616797925677,Unknown
Ailuropoda melanoleuca,28,0.12506,0.00511689429010255,Unknown
Ailuropoda melanoleuca,29,0.125517,0.00513559268039982,Unknown
Ailuropoda melanoleuca,30,0.124098,0.00507753356479407,Unknown
Ailuropoda melanoleuca,31,0.127763,0.00522748892680611,Unknown
Ailuropoda melanoleuca,32,0.155705,0.0063707502434065,Unknown
Ailuropoda melanoleuca,33,0.127062,0.00519880715087966,Unknown
Ailuropoda melanoleuca,34,0.111377,0.00455704730008597,Unknown
Ailuropoda melanoleuca,35,0.108896,0.00445553590768437,Unknown
Ailuropoda melanoleuca,36,0.103987,0.00425468164516947,Unknown
Ailuropoda melanoleuca,37,0.075144,0.00307455544966789,Unknown
Ailuropoda melanoleuca,38,0.073603,0.00301150464124754,Unknown
Ailuropoda melanoleuca,39,0.064118,0.00262342098267068,Unknown
Ailuropoda melanoleuca,40,0.049474,0.00202425418286049,Unknown
Ailuropoda melanoleuca,41,0.032496,0.00132959057133514,Unknown
Ailuropoda melanoleuca,42,0.029928,0.00122451952913953,Unknown
Ailuropoda melanoleuca,43,0.019412,0.000794251974727896,Unknown
Ailuropoda melanoleuca,44,0.007522,0.000307766502879828,Unknown
Ailuropoda melanoleuca,45,0.005575,0.000228103995420772,Unknown
Ailuropoda melanoleuca,46,0.004134,0.000169144738487797,Unknown
Ailuropoda melanoleuca,47,0.003373,0.000138008031668926,Unknown
Ailuropoda melanoleuca,48,0.001119,4.5784461143649e-05,Unknown
Ailuropoda melanoleuca,49,0.000487,1.99258557434826e-05,Unknown
Ailuropoda melanoleuca,50,0.000128,5.23718590383117e-06,Unknown
Ailuropoda melanoleuca,51,0,0,Unknown
Ailuropoda melanoleuca,52,0.000376,1.53842335925041e-05,Unknown
Ailuropoda melanoleuca,53,9.4e-05,3.84605839812601e-06,Unknown
Ailuropoda melanoleuca,54,0,0,Unknown
Ailuropoda melanoleuca,55,0,0,Unknown
Ailuropoda melanoleuca,56,0,0,Unknown
Ailuropoda melanoleuca,57,0,0,Unknown
Ailuropoda melanoleuca,58,0,0,Unknown
Ailuropoda melanoleuca,59,7.7e-05,3.15049464527344e-06,Unknown
Ailuropoda melanoleuca,60,0,0,Unknown
Ailuropoda melanoleuca,61,0,0,Unknown
Ailuropoda melanoleuca,62,0,0,Unknown
Ailuropoda melanoleuca,63,0,0,Unknown
Ailuropoda melanoleuca,64,0,0,Unknown
Ailuropoda melanoleuca,65,0,0,Unknown
Ailuropoda melanoleuca,66,0,0,Unknown
Ailuropoda melanoleuca,67,0,0,Unknown
Ailuropoda melanoleuca,68,0,0,Unknown
Ailuropoda melanoleuca,69,0,0,Unknown
Ailuropoda melanoleuca,70,0,0,Unknown
Ailuropoda melanoleuca,0,0.034799,0.00142381900208923,Other
Ailuropoda melanoleuca,1,0.029426,0.00120397994067294,Other
Ailuropoda melanoleuca,2,0.029775,0.00121825945536385,Other
Ailuropoda melanoleuca,3,0.034752,0.00142189597289016,Other
Ailuropoda melanoleuca,4,0.025977,0.00106286232987361,Other
Ailuropoda melanoleuca,5,0.024791,0.00101433652923343,Other
Ailuropoda melanoleuca,6,0.026167,0.00107063627769961,Other
Ailuropoda melanoleuca,7,0.024243,0.000991914827082648,Other
Ailuropoda melanoleuca,8,0.02513,0.0010282068887756,Other
Ailuropoda melanoleuca,9,0.023923,0.000978821862323071,Other
Ailuropoda melanoleuca,10,0.029789,0.00121883227257208,Other
Ailuropoda melanoleuca,11,0.034782,0.00142312343833637,Other
Ailuropoda melanoleuca,12,0.023136,0.000946621352117484,Other
Ailuropoda melanoleuca,13,0.023126,0.000946212196968747,Other
Ailuropoda melanoleuca,14,0.018157,0.000742903003561426,Other
Ailuropoda melanoleuca,15,0.018096,0.000740407157154131,Other
Ailuropoda melanoleuca,16,0.016315,0.000667536625164106,Other
Ailuropoda melanoleuca,17,0.012201,0.000499210196973782,Other
Ailuropoda melanoleuca,18,0.011542,0.000472246872672026,Other
Ailuropoda melanoleuca,19,0.009114,0.000372904002558729,Other
Ailuropoda melanoleuca,20,0.009158,0.000374704285213171,Other
Ailuropoda melanoleuca,21,0.009076,0.000371349212993529,Other
Ailuropoda melanoleuca,22,0.007939,0.000324828272582153,Other
Ailuropoda melanoleuca,23,0.007879,0.000322373341689733,Other
Ailuropoda melanoleuca,24,0.007462,0.000305311571987408,Other
Ailuropoda melanoleuca,25,0.013341,0.000545853883929778,Other
Ailuropoda melanoleuca,26,0.013262,0.000542621558254757,Other
Ailuropoda melanoleuca,27,0.012433,0.000508702596424476,Other
Ailuropoda melanoleuca,28,0.013443,0.000550027266446894,Other
Ailuropoda melanoleuca,29,0.019193,0.00078529147697056,Other
Ailuropoda melanoleuca,30,0.017702,0.000724286444293901,Other
Ailuropoda melanoleuca,31,0.016751,0.00068537578964903,Other
Ailuropoda melanoleuca,32,0.013022,0.000532801834685074,Other
Ailuropoda melanoleuca,33,0.014612,0.000597857503334227,Other
Ailuropoda melanoleuca,34,0.012971,0.000530715143426516,Other
Ailuropoda melanoleuca,35,0.006095,0.000249380063155086,Other
Ailuropoda melanoleuca,36,0.011502,0.000470610252077079,Other
Ailuropoda melanoleuca,37,0.005434,0.000222334907823583,Other
Ailuropoda melanoleuca,38,0.004229,0.000173031712400797,Other
Ailuropoda melanoleuca,39,0.003836,0.00015695191505544,Other
Ailuropoda melanoleuca,40,0.003616,0.00014795050178323,Other
Ailuropoda melanoleuca,41,0.002492,0.000101961463065213,Other
Ailuropoda melanoleuca,42,0.002147,8.78456104337931e-05,Other
Ailuropoda melanoleuca,43,0.000727,2.97455793131661e-05,Other
Ailuropoda melanoleuca,44,0.000494,2.02122643475984e-05,Other
Ailuropoda melanoleuca,45,0.000657,2.68814932720084e-05,Other
Ailuropoda melanoleuca,46,0.000213,8.71500466809405e-06,Other
Ailuropoda melanoleuca,47,0,0,Other
Ailuropoda melanoleuca,48,0.00013,5.31901693357853e-06,Other
Ailuropoda melanoleuca,49,0,0,Other
Ailuropoda melanoleuca,50,0,0,Other
Ailuropoda melanoleuca,51,0,0,Other
Ailuropoda melanoleuca,52,0,0,Other
Ailuropoda melanoleuca,53,0,0,Other
Ailuropoda melanoleuca,54,0,0,Other
Ailuropoda melanoleuca,55,0,0,Other
Ailuropoda melanoleuca,56,0,0,Other
Ailuropoda melanoleuca,57,0,0,Other
Ailuropoda melanoleuca,58,0,0,Other
Ailuropoda melanoleuca,59,0,0,Other
Ailuropoda melanoleuca,60,0,0,Other
Ailuropoda melanoleuca,61,0,0,Other
Ailuropoda melanoleuca,62,0,0,Other
Ailuropoda melanoleuca,63,0,0,Other
Ailuropoda melanoleuca,64,0,0,Other
Ailuropoda melanoleuca,65,0,0,Other
Ailuropoda melanoleuca,66,0,0,Other
Ailuropoda melanoleuca,67,0,0,Other
Ailuropoda melanoleuca,68,0,0,Other
Ailuropoda melanoleuca,69,0,0,Other
Ailuropoda melanoleuca,70,0,0,Other
Amazona collaria,0,0.047944,0.00380894791395925,DNA
Amazona collaria,1,0,0,DNA
Amazona collaria,2,0,0,DNA
Amazona collaria,3,6.8e-05,5.40231224239173e-06,DNA
Amazona collaria,4,4.7e-05,3.73395110871193e-06,DNA
Amazona collaria,5,0.000388,3.08249580889411e-05,DNA
Amazona collaria,6,0.000433,3.44000176611121e-05,DNA
Amazona collaria,7,0.000173,1.37441179107907e-05,DNA
