"Species","Clade","R²","Assembly size (Mb)","Repeats analyzed?","BUSCO (Single)"
"Sphenodon punctatus","Sauropsida",NA,NA,"Yes",NA
"Stachyris ruficeps","Sauropsida",NA,NA,"Yes",NA
"Stegastes partitus","Actinopterygii",NA,NA,"No",NA
"Strigops habroptila","Sauropsida",0.801,1166,"Yes",NA
"Strix occidentalis caurina","Sauropsida",NA,NA,"Yes",NA
"Struthio camelus australis","Sauropsida",NA,NA,"Yes",NA
"Suricata suricatta","Mammalia",0.184,2354,"Yes",94.7
"Sus scrofa","Mammalia",0.751,2502,"Yes",97.7
"Taeniopygia guttata","Sauropsida",0.964,1058,"Yes",NA
"Takifugu rubripes","Actinopterygii",0.764,384.1,"Yes",94.6
"Terrapene carolina triunguis","Sauropsida",NA,NA,"Yes",NA
"Tetraodon nigroviridis","Actinopterygii",0.998,358.6,"Yes",NA
"Theropithecus gelada","Mammalia",0.34,2890,"Yes",97.5
"Tupaia belangeri","Mammalia",NA,NA,"No",NA
"Tursiops truncatus","Mammalia",NA,NA,"No",NA
"Urocitellus parryii","Mammalia",NA,NA,"Yes",NA
"Ursus americanus","Mammalia",NA,NA,"No",NA
"Ursus maritimus","Mammalia",NA,NA,"Yes",NA
"Ursus thibetanus thibetanus","Mammalia",NA,NA,"Yes",NA
"Varanus komodoensis","Sauropsida",NA,NA,"Yes",NA
"Vicugna pacos","Mammalia",NA,NA,"No",NA
"Vombatus ursinus","Mammalia",NA,NA,"Yes",NA
"Vulpes vulpes","Mammalia",NA,NA,"Yes",NA
"Xenopus tropicalis","Other",0.799,1451,"Yes",95
"Xiphophorus couchianus","Actinopterygii",0.862,708.4,"Yes",NA
"Xiphophorus maculatus","Actinopterygii",0.577,704.3,"Yes",98.7
"Zalophus californianus","Mammalia",0.425,2409,"Yes",NA
"Zonotrichia albicollis","Sauropsida",NA,NA,"Yes",NA
"Zosterops lateralis melanops","Sauropsida",NA,NA,"Yes",NA
