species,rsq,assem.sz,class,order,family,clade
Homo_sapiens,0.627702544,3099.750718,Mammalia,Primates,Hominidae,Mammalia
Ictalurus_punctatus,0.81816159,783.274721,Actinopterygii,Siluriformes,Ictaluridae,Actinopterygii
Junco_hyemalis,0.973391813,958.315288,Aves,Passeriformes,Passerellidae,Sauropsida
Larimichthys_crocea,0.863186404,657.939657,Actinopterygii,Acanthuriformes,Sciaenidae,Actinopterygii
Lepisosteus_oculatus,0.915474037,945.878036,Actinopterygii,Lepisosteiformes,Lepisosteidae,Actinopterygii
Leptobrachium_leishanense,0.959844934,3549.060464,Amphibia,Anura,Megophryidae,Others
Loxodonta_africana,0.666162504,3196.760833,Mammalia,Proboscidea,Elephantidae,Mammalia
Lynx_canadensis,0.473805946,2408.883772,Mammalia,Carnivora,Felidae,Mammalia
Macaca_fascicularis,0.509472416,2906.155132,Mammalia,Primates,Cercopithecidae,Mammalia
Macaca_mulatta,0.511483276,2971.33153,Mammalia,Primates,Cercopithecidae,Mammalia
Malurus_cyaneus_samueli,0.951476727,1078.874851,Aves,Passeriformes,Maluridae,Sauropsida
Mastacembelus_armatus,0.484710087,591.951587,Actinopterygii,Synbranchiformes,Mastacembelidae,Actinopterygii
Meleagris_gallopavo,0.942343135,1115.474681,Aves,Galliformes,Phasianidae,Sauropsida
Melopsittacus_undulatus,0.764336394,1171.617451,Aves,Psittaciformes,Psittaculidae,Sauropsida
Microcebus_murinus,0.676382094,2487.409138,Mammalia,Primates,Cheirogaleidae,Mammalia
Microtus_ochrogaster,0.806372454,2287.357235,Mammalia,Rodentia,Cricetidae,Mammalia
Monodelphis_domestica,0.962515234,3600.504728,Mammalia,Didelphimorphia,Didelphidae,Mammalia
Monodon_monoceros,0.47502303,2355.574979,Mammalia,Artiodactyla,Monodontidae,Mammalia
Mus_caroli,0.703319078,2553.112587,Mammalia,Rodentia,Muridae,Mammalia
Mus_musculus,0.590505428,2728.222451,Mammalia,Rodentia,Muridae,Mammalia
Mus_pahari,0.781153432,2475.012951,Mammalia,Rodentia,Muridae,Mammalia
Mus_spretus,0.71311972,2625.571169,Mammalia,Rodentia,Muridae,Mammalia
Myripristis_murdjan,0.394516723,835.254674,Actinopterygii,Beryciformes,Holocentridae,Actinopterygii
Naja_naja,0.984133828,1768.535092,Reptilia,Squamata,Elapidae,Sauropsida
Nomascus_leucogenys,0.57895091,2962.060179,Mammalia,Primates,Hylobatidae,Mammalia
Nothobranchius_furzeri,0.779822422,1242.518059,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Actinopterygii
Numida_meleagris,0.985004836,1043.26415,Aves,Galliformes,Numididae,Sauropsida
Oncorhynchus_kisutch,0.894881992,2375.894934,Actinopterygii,Salmoniformes,Salmonidae,Actinopterygii
Oncorhynchus_mykiss,0.843079851,2341.671972,Actinopterygii,Salmoniformes,Salmonidae,Actinopterygii
Oncorhynchus_tshawytscha,0.883590587,2294.85919,Actinopterygii,Salmoniformes,Salmonidae,Actinopterygii
Oreochromis_aureus,0.936121025,1005.575223,Actinopterygii,Cichliformes,Cichlidae,Actinopterygii
Oreochromis_niloticus,0.822761001,1005.68155,Actinopterygii,Cichliformes,Cichlidae,Actinopterygii
Ornithorhynchus_anatinus,0.902577446,1858.55259,Mammalia,Monotremata,Ornithorhynchidae,Mammalia
Oryctolagus_cuniculus,0.808648736,2737.490501,Mammalia,Lagomorpha,Leporidae,Mammalia
Oryzias_javanicus,0.452275144,809.679899,Actinopterygii,Beloniformes,Adrianichthyidae,Actinopterygii
Oryzias_latipes,0.425949589,734.057086,Actinopterygii,Beloniformes,Adrianichthyidae,Actinopterygii
Ovis_aries_rambouillet,0.771531989,2628.146905,Mammalia,Artiodactyla,Bovidae,Mammalia
Pan_paniscus,0.464776197,3286.643896,Mammalia,Primates,Hominidae,Mammalia
Pan_troglodytes,0.572098951,3231.170666,Mammalia,Primates,Hominidae,Mammalia
Panthera_leo,0.607664101,2406.807619,Mammalia,Carnivora,Felidae,Mammalia
Papio_anubis,0.483782234,2869.821163,Mammalia,Primates,Cercopithecidae,Mammalia
Parambassis_ranga,0.792821763,551.012959,Actinopterygii,NA,Ambassidae,Actinopterygii
Parus_major,0.977796602,1020.310768,Aves,Passeriformes,Paridae,Sauropsida
Periophthalmus_magnuspinnatus,0.579161376,752.622058,Actinopterygii,Gobiiformes,Oxudercidae,Actinopterygii
Peromyscus_maniculatus_bairdii,0.733348766,2512.42344,Mammalia,Rodentia,Cricetidae,Mammalia
Phocoena_sinus,0.470366527,2371.524154,Mammalia,Artiodactyla,Phocoenidae,Mammalia
Physeter_catodon,0.430277253,2512.132974,Mammalia,Artiodactyla,Physeteridae,Mammalia
Podarcis_muralis,0.668992597,1511.002858,Reptilia,Squamata,Lacertidae,Sauropsida
Poecilia_reticulata,0.632507561,731.622281,Actinopterygii,Cyprinodontiformes,Poeciliidae,Actinopterygii
Pongo_abelii,0.403756177,3065.052215,Mammalia,Primates,Hominidae,Mammalia
Pygocentrus_nattereri,0.827379621,1222.050449,Actinopterygii,Characiformes,Serrasalmidae,Actinopterygii
Rattus_norvegicus,0.745287241,2647.915728,Mammalia,Rodentia,Muridae,Mammalia
Rhinolophus_ferrumequinum,0.374119538,2075.768562,Mammalia,Chiroptera,Rhinolophidae,Mammalia
Salarias_fasciatus,0.480466914,797.490645,Actinopterygii,Blenniiformes,Blenniidae,Actinopterygii
Salmo_salar,0.90383123,2756.584103,Actinopterygii,Salmoniformes,Salmonidae,Actinopterygii
Salmo_trutta,0.804176581,2371.880186,Actinopterygii,Salmoniformes,Salmonidae,Actinopterygii
Sarcophilus_harrisii,0.963949771,3086.674442,Mammalia,Dasyuromorphia,Dasyuridae,Mammalia
Sciurus_vulgaris,0.791413916,2878.591032,Mammalia,Rodentia,Sciuridae,Mammalia
Scleropages_formosus,0.86984515,784.546363,Actinopterygii,Osteoglossiformes,Osteoglossidae,Actinopterygii
Scophthalmus_maximus,0.198677473,556.696898,Actinopterygii,Pleuronectiformes,Scophthalmidae,Actinopterygii
Sparus_aurata,0.415844296,833.578411,Actinopterygii,Spariformes,Sparidae,Actinopterygii
Sphaeramia_orbicularis,0.698495971,1342.662642,Actinopterygii,Kurtiformes,Apogonidae,Actinopterygii
Strigops_habroptila,0.800972557,1165.621973,Aves,Psittaciformes,Strigopidae,Sauropsida
Suricata_suricatta,0.183532756,2353.578744,Mammalia,Carnivora,Herpestidae,Mammalia
Sus_scrofa,0.750875615,2501.912388,Mammalia,Artiodactyla,Suidae,Mammalia
Taeniopygia_guttata,0.963708863,1057.99528,Aves,Passeriformes,Estrildidae,Sauropsida
Takifugu_rubripes,0.76414573,384.110215,Actinopterygii,Tetraodontiformes,Tetraodontidae,Actinopterygii
Tetraodon_nigroviridis,0.997730108,358.618246,Actinopterygii,Tetraodontiformes,Tetraodontidae,Actinopterygii
Theropithecus_gelada,0.340174317,2889.614139,Mammalia,Primates,Cercopithecidae,Mammalia
Xenopus_tropicalis,0.799350352,1451.301209,Amphibia,Anura,Pipidae,Others
Xiphophorus_couchianus,0.861618243,708.396389,Actinopterygii,Cyprinodontiformes,Poeciliidae,Actinopterygii
Xiphophorus_maculatus,0.576912915,704.321165,Actinopterygii,Cyprinodontiformes,Poeciliidae,Actinopterygii
Zalophus_californianus,0.424568852,2408.641788,Mammalia,Carnifora,Otariidae,Mammalia
