species,class,order,family,chromnum.1n,chromnum.est,chromnum.source,chromnum.database,est.gnsz.Mbp,est.gnsz.source,est.gnsz.db
Anolis carolinensis,Reptilia,Squamata,Dactyloidae,18,,"Olmo, E. (1976). Genome size in some reptiles. Journal of Experimental Zoology 195: 305-308",,1574.58,"De Smet, W.H.O. (1981). The nuclear Feulgen-DNA content of the vertebrates (especially reptiles), as measured by fluorescence cytophotometry, with notes on the cell and chromosome size. Acta Zoologica et Pathologica Antverpiensia 76: 119-167.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Anser brachyrhynchus,Aves,Anseriformes,Anatidae,40,,"Andraszek, K., Smalec, E., & ?ukasz, W. (2007). Description of G bands on the chromosomes of the European domestic goose (Anser anser). European Poultry Science, 71(6).",,NA,NA,NA
Anser cygnoides,Aves,Anseriformes,Anatidae,40,,"B. Islam, F., Uno, Y., Nunome, M., Nishimura, O., Tarui, H., Agata, K., & Matsuda, Y. (2014). Comparison of the Chromosome Structures between the Chicken and Three Anserid Species, the Domestic Duck (Anas platyrhynchos), Muscovy Duck (Cairina moschata), and Chinese Goose (Anser cygnoides), and the Delineation of their Karyotype Evolution by Comparative Chromosome Mapping. The Journal of Poultry Science, 51(1), 1‚Äì13. https://doi.org/10.2141/jpsa.0130090",,1220,"Zhang, Y., Ni, H., Xie, H., Yin, Y., Zheng, J., Dong, L., Diao, J., Yan, S., Yang, Y., Sun, H., & Sun, X. (2022). De novo assembly of a wild swan goose (Anser cygnoides) genome. Animal Genetics, 53(6), 878ñ880. https://doi.org/10.1111/age.13262",
Aotus nancymaae,Mammalia,Primates,Aotidae,27,,"Kumamoto, A. T., & Houck, M. L. (2001). CYTOGENETIC IDENTIFICATION OF A HYBRID OWL MONKEY, AOTUS LEMURINUS GRISEIMEMBRA. Journal of Zoo and Wildlife Medicine, 32(1), 130ÔøΩ133. https://doi.org/10.1638/1042-7260(2001)032[0130:cioaho]2.0.co;2",,NA,NA,NA
Apteryx haastii,Aves,Apterygiformes,Apterygidae,,40,De Boer 1980a,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",,,
Apteryx owenii,Aves,Apterygiformes,Apterygidae,,40,De Boer 1980a,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",NA,NA,NA
Apteryx rowi,Aves,Apterygiformes,Apterygidae,,40,De Boer 1980a,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",NA,NA,NA
Aquila chrysaetos chrysaetos,Aves,Accipitriformes,Accipitridae,31,,"Noro, M., Kurose, N., Nishida-Umehara, C., Takechi, H., Yamazaki, T., Kosuge, M., & Yoshida, M. C. (1990). Genetic characteristics of endangered Japanese golden eagles (Aquila chrysaetos japonica) based on mitochondrial DNA D-loop sequences and karyotypes. Zoo Biology, 17. https://doi.org/10.1002/(SICI)1098-2361(1998)17:2%3C111::AID-ZOO6%3E3.0.CO;2-C",,NA,NA,NA
Astatotilapia calliptera,Actinopterygii,Cichliformes,Cichlidae,20,,"Kuroiwa, A., Terai, Y., Kobayashi, N., Yoshida, K., Suzuki, M., Nakanishi, A., Matsuda, Y., Watanabe, M., & Okada, N. (2013b). Construction of Chromosome Markers from the Lake Victoria Cichlid Paralabidochromis chilotes and Their Application to Comparative Mapping. Cytogenetic and Genome Research, 142(2), 112ÔøΩ120. https://doi.org/10.1159/000356128",,NA,NA,NA
Astyanax mexicanus,Actinopterygii,Characiformes,Characidae,25,,"Kavalco, K. F., & De Almeida-Toledo, L. F. (2007). Molecular Cytogenetics of Blind Mexican Tetra and Comments on the Karyotypic Characteristics of GenusAstyanax(Teleostei, Characidae). Zebrafish, 4(2), 103‚Äì111. https://doi.org/10.1089/zeb.2007.0505",,1400,"Warren, W. C., Rice, E. S., Maggs X, Roback, E., Keene, A., Martin, F., Denye Ogeh, Haggerty, L., Carroll, R. A., McGaugh, S., & Rohner, N. (2024). Astyanax mexicanus surface and cavefish chromosome-scale assemblies for trait variation discovery. G3. https://doi.org/10.1093/g3journal/jkae103",
Athene cunicularia,Aves,Strigiformes,Strigidae,42,,"Nogueira, D. M., & Alves, M. A. S. (2011). A case of leucism in the burrowing owl Athene cunicularia (Aves: Strigiformes) with confirmation of species identity using cytogenetic analysis. Zoologia (Curitiba), 28(1), 53ÔøΩ57. https://doi.org/10.1590/s1984-46702011000100008",,NA,NA,NA
Balaenoptera musculus,Mammalia,Artiodactyla,Balaenoptera,22,,"√Årnason, √ö., Spilliaert, R., P√°lsd√≥ttir, √Å., & √Årnason, A. (1991). Molecular identification of hybrids between the two largest whale species, the blue whale (Balaenoptera musculus) and the fin whale (B. physalus). Hereditas, 115(2), 183‚Äì189. https://doi.org/10.1111/j.1601-5223.1991.tb03554.x",,2700,"Bukhman, Y. V., Morin, P. A., Meyer, S., Chu, L.-F., Jacobsen, J. K., Antosiewicz-Bourget, J., Mamott, D., Gonzales, M., Argus, C., Bolin, J., Berres, M. E., Olivier Fedrigo, Steill, J., Swanson, S. A., Jiang, P., Arang Rhie, Giulio Formenti, Phillippy, A. M., Harris, R. S., & Wood, J. M. D. (2024). A high-quality blue whale genome, segmental duplications, and historical demography. Molecular Biology and Evolution. https://doi.org/10.1093/molbev/msae036",
Betta splendens,Actinopterygii,Anabantiformes,Osphronemidae,21,,"Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",,616.14,"Hardie, D.C. and P.D.N. Hebert (2004). Genome-size evolution in fishes. Canadian Journal of Fisheries and Aquatic Sciences 61: 1636-1646.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Bison bison bison,Mammalia,Artiodactyla,Bovidae,30,,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I.. Indian Journal of Dairy Science 17: 107-108.",,4792.2,"Eapen, K.J. and M.M. Raza Nasir (1964). Deoxyribonucleic acid in hariana, buffalo and ram semen - part I.. Indian Journal of Dairy Science 17: 107-108.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Bos grunniens,Mammalia,Artiodactyla,Bovidae,30,,"Popescu, C. P. (1969). Idiograms of yak (Bos grunniens), cattle (Bos Taurus) and their hybrid. Genetics Selection Evolution, 1(3), 207. https://doi.org/10.1186/1297-9686-1-3-207",,NA,NA,NA
Bos mutus,Mammalia,Artiodactyla,Bovidae,30,,"Popescu, C. P. (1969). Idiograms of yak (Bos grunniens), cattle (Bos Taurus) and their hybrid. Genetics Selection Evolution, 1(3), 207. https://doi.org/10.1186/1297-9686-1-3-207",,,,
Bos taurus,Mammalia,Artiodactyla,Bovidae,30,,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,3618.6,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Bubo bubo,Aves,Strigiformes,Strigidae,40,,"Venturini, G., R. D'Ambrogi, and E. Capanna (1986). Size and structure of the bird genome. I. DNA content of 48 species of Neognathae.. Comparative Biochemistry and Physiology 85B: 61-65.",,1985.34,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Buteo japonicus,Aves,Accipitriformes,Accipitridae,34,,"De Vita, R., D. Cavallo, P. Eleuteri, and G. Dell'Omo (1994). Evaluation of interspecific DNA content variations and sex identification in Falconiformes and Strigiformes by flow cytometric analysis. Cytometry 16: 346-350.",,1496.34,"De Vita, R., D. Cavallo, P. Eleuteri, and G. Dell'Omo (1994). Evaluation of interspecific DNA content variations and sex identification in Falconiformes and Strigiformes by flow cytometric analysis. Cytometry 16: 346-350.",
Cairina moschata domestica,Aves,Anseriformes,Anatidae,39,,"Wagenmann, M., J.T. Epplen, K. Bachmann, W. Engel, and J. Schmidke (1981). DNA sequence organisation in relation to genome size in birds. Experientia 37: 1274-1276.",,1310.52,"Wagenmann, M., J.T. Epplen, K. Bachmann, W. Engel, and J. Schmidke (1981). DNA sequence organisation in relation to genome size in birds. Experientia 37: 1274-1276.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Calidris pugnax,Aves,Charadriiformes,Scolopacidae,46,,"de Souza, M. S., Barcellos, S. A., Dos Santos, M. da S., Gunski, R. J., Garnero, A. D. V., de Oliveira, E. H. C., OÔøΩConnor, R. E., Griffin, D. K., & Kretschmer, R. (2022). Microchromosome BAC-FISH Reveals Different Patterns of Genome Organization in Three Charadriiformes Species. Animals : An Open Access Journal from MDPI, 12(21), 3052. https://doi.org/10.3390/ani12213051",,1230,"Lamichhaney, Sangeet, et al. ìStructural Genomic Changes Underlie Alternative Reproductive Strategies in the Ruff (Philomachus Pugnax).î Nature Genetics, vol. 48, no. 1, 16 Nov. 2015, pp. 84ñ88, https://doi.org/10.1038/ng.3430.",
Calidris pygmaea,Aves,Charadriiformes,Scolopacidae,46,,"de Souza, M. S., Barcellos, S. A., Dos Santos, M. da S., Gunski, R. J., Garnero, A. D. V., de Oliveira, E. H. C., OÔøΩConnor, R. E., Griffin, D. K., & Kretschmer, R. (2022). Microchromosome BAC-FISH Reveals Different Patterns of Genome Organization in Three Charadriiformes Species. Animals : An Open Access Journal from MDPI, 12(21), 3052. https://doi.org/10.3390/ani12213052",,NA,NA,NA
Callithrix jacchus,Mammalia,Primates,Callitrichidae,23,,"Pellicciari, C., D. Formenti, C.A. Redi, and M.G. Manfredi Romanini (1982). DNA content variability in primates. Journal of Human Evolution 11: 131-141.",,1230,"Pellicciari, C., D. Formenti, C.A. Redi, and M.G. Manfredi Romanini (1982). DNA content variability in primates. Journal of Human Evolution 11: 131-141.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Callorhinchus milii,Chondrichthyes,Chimaeriformes,Callorhinchidae,,29,"Arai, R. (2011). Fish karyotypes: a check list. Springer Science & Business Media.","Rom·n?Palacios, C., Medina, C. A., Zhan, S. H., & Barker, M. S. (2021). Animal chromosome counts reveal a similar range of chromosome numbers but with less polyploidy in animals compared to flowering plants. Journal of Evolutionary Biology, 34(8), 1333ñ1339. https://doi.org/10.1111/jeb.13884",NA,NA,NA
Camarhynchus parvulus,Aves,Passeriformes,Thraupidae,40,,Jo 1983,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",NA,NA,NA
Camelus dromedarius,Mammalia,Artiodactyla,Camelidae,37,,"De Stefano, G.F., S. Garagna, and C.A. Redi (1982). Genome size in some species of Camelidae. Basic and Applied Histochemistry 26 Suppl.: XCII.",,2562.36,"Krishan, A. P. Dandekar, N. Nathan, R. Hamelik, C. Miller, and J. Shaw (2005). DNA index, genome size, and electronic nuclear volume of vertebrates from the Miami Metro Zoo. Cytometry 65A: 26-34.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Canis lupus dingo,Mammalia,Carnivora,Canidae,39,,"Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",,2400,"Ballard, W. O., Field, M. A., Edwards, R. J., Wilson, L. A. B., Koungoulos, L. G., Rosen, B. D., Chernoff, B., Dudchenko, O., Omer, A., Jens Keilwagen, Ksenia Skvortsova, Bogdanovic, O., Chan, E., Zammit, R., Hayes, V., & Erez Lieberman Aiden. (2023). The Australasian dingo archetype: de novo chromosome-length genome assembly, DNA methylome, and cranial morphology. Gigascience, 12. https://doi.org/10.1093/gigascience/giad018",
Canis lupus familiaris,Mammalia,Carnivora,Canidae,39,,"Tiersch, T.R., R.W. Chandler, S.S. Wachtel, and S. Elias (1989a). Reference standards for flow cytometry and application in comparative studies of nuclear DNA content. Cytometry 10: 706-710.",,2816.64,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Capra hircus,Mammalia,Artiodactyla,Bovidae,30,,"Sumner, A.T. and R.A. Buckland (1976). Relative DNA contents of somatic nuclei of ox, sheep and goat. Chromosoma 57: 171-175.",,3168.72,"Sumner, A.T. and R.A. Buckland (1976). Relative DNA contents of somatic nuclei of ox, sheep and goat. Chromosoma 57: 171-175.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Carassius auratus,Actinopterygii,Cypriniformes,Cyprinidae,50,,"Hinegardner, R. and D.E. Rosen (1972). Cellular DNA content and the evolution of teleostean fishes. American Naturalist 106: 621-644.",,1643.04,"Hardie, D.C. and P.D.N. Hebert (2003). The nucleotypic effects of cellular DNA content in cartilaginous and ray-finned fishes. Genome 46: 683-706.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Carlito syrichta,Mammalia,Primates,Tarsiidae,40,,"Schmitz, J., Noll, A., Raabe, C. A., Churakov, G., Voss, R., Kiefmann, M., Rozhdestvensky, T., Brosius, J., Baertsch, R., Clawson, H., Roos, C., Zimin, A., Minx, P., Montague, M. J., Wilson, R. K., & Warren, W. C. (2016). Genome sequence of the basal haplorrhine primate Tarsius syrichta reveals unusual insertions. Nature Communications, 7(1). https://doi.org/10.1038/ncomms12997",,,,
Castor canadensis,Mammalia,Rodentia,Castoridae,20,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,,,
Catagonus wagneri,Mammalia,Artiodactyla,Tayassuidae,10,,"Musilova, P., Kubickova, S., Cernohorska, H., & Rubes, J. (2021b). Comparative chromosome painting in Chacoan peccary, Catagonus wagneri. Journal of Applied Genetics, 62(2). https://doi.org/10.1007/s13353-021-00619-2",,NA,NA,NA
Catharus ustulatus,Aves,Passeriformes,Turdidae,,40,Udagawa 1957; De Lucca 1974b; Udagawa 1955b; Yamashina 1951; Li 1989; Bulatova et al. 1971; Giannoni et al. 1990; Hammar 1970; Jovanovic and Atkins 1969a; Bulatova and Panov 1973,"Degrandi T, M, Barcellos S, A, Costa A, L, Garnero A, D, V, Hass I, Gunski R, J: Introducing the Bird Chromosome Database: An Overview of Cytogenetic Studies in Birds. Cytogenet Genome Res 2020. doi: 10.1159/000507768",1457.22,"Wright, N.A., T.R. Gregory, and C.C. Witt (2014). Metabolic \‚Äòengines\‚Äô of flight drive genome size reduction in birds. Proceedings of the Royal Society of London B 281: in press.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Cavia aperea,Mammalia,Rodentia,Caviidae,32,,"Walker, L., Soto, M. A., & Spotorno, ÔøΩ. E. (2014). Similarities and differences among the chromosomes of the wild guinea pig Cavia tschudii and the domestic guinea pig Cavia porcellus (Rodentia, Caviidae). Comparative Cytogenetics, 8(2), 153ÔøΩ167. https://doi.org/10.3897/compcytogen.v8i2.7509",,NA,NA,NA
Cavia porcellus,Mammalia,Rodentia,Caviidae,32,,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,4009.8,"Gallardo, M.H., J.W. Bickham, G. Kausel, N. Kˆhler, and R.L. Honeycutt (2002). Gradual and quantum genome size shifts in the hystricognath rodents. Journal of Evolutionary Biology 16: 163-169.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Cebus imitator,Mammalia,Primates,Cebidae,27,,"Amaral, P. J. S., Finotelo, L. F. M., De, C., Pissinatti, A., Nagamachi, C. Y., & Pieczarka, J. C. (2008). Phylogenetic studies of the genus Cebus(Cebidae-Primates) using chromosome painting and G-banding. BMC Evolutionary Biology, 8(1). https://doi.org/10.1186/1471-2148-8-169",,NA,NA,NA
Cercocebus atys,Mammalia,Primates,Cercopithecidae,21,,"Pellicciari, C., D. Formenti, C.A. Redi, and M.G. Manfredi Romanini (1982). DNA content variability in primates. Journal of Human Evolution 11: 131-141.",,3657.72,"Pellicciari, C., D. Formenti, C.A. Redi, and M.G. Manfredi Romanini (1982). DNA content variability in primates. Journal of Human Evolution 11: 131-141.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Cervus hanglu yarkandensis,Mammalia,Artiodactyla,Cervidae,34,,"Ba, H., Cai, Z., Gao, H., Qin, T., Liu, W., Xie, L., Zhang, Y., Jing, B., Wang, D., & Li, C. (2020). Chromosome-level genome assembly of Tarim red deer, Cervus elaphus yarkandensis. Scientific Data, 7(1). https://doi.org/10.1038/s41597-020-0537-0",,NA,NA,NA
Chelonoidis abingdonii,Reptilia,Testudines,Testudinidae,26,,"Clemente, L., Mazzoleni, S., Pensabene Bellavia, E., AugstenovÔøΩ, B., Auer, M., Praschag, P., Protiva, T., VelenskÔøΩ, P., Wagner, P., Fritz, U., KratochvÔøΩl, L., & Rovatsos, M. (2020). Interstitial Telomeric Repeats Are Rare in Turtles. Genes, 11(6), 657. https://doi.org/10.3390/genes11060657",,,,
Chelydra serpentina,Reptilia,Testudines,Chelydridae,26,,"Olmo, E. (1976). Genome size in some reptiles. Journal of Experimental Zoology 195: 305-310.",,2454.78,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Chinchilla lanigera,Mammalia,Rodentia,Chinchillidae,32,,"Bachmann, K. (1972). Genome size in mammals. Chromosoma 35: 85-93.",,3872.88,"Bachmann, K. (1972). Genome size in mammals. Chromosoma 35: 85-93.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Chlorocebus sabaeus,Mammalia,Primaes,Cercopithecidae,30,,"Manfredi Romanini, M.G., D. Formenti, C. Pellicciari, E. Ronchetti, and Y. Rumpler (1994). Possible meaning of C-heterochromatic DNA (ChDNA) in primates. Current Primatology, Vol. 1: Ecology and Evolution : 371-378.",,3951.12,"Manfredi Romanini, M.G., D. Formenti, C. Pellicciari, E. Ronchetti, and Y. Rumpler (1994). Possible meaning of C-heterochromatic DNA (ChDNA) in primates. Current Primatology, Vol. 1: Ecology and Evolution : 371-378.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Choloepus hoffmanni,Mammalia,Pilosa,Megalonychidae,25,,"Pardo-Manuel de Villena F., Sapienza C. (2001) Female meiosis drives karyotype evolution in mammals. Genetics 159: 1179-1189.",,,,
Chrysemys picta bellii,Reptilia,Testudines,Emydidae,25,,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.",,2513.46,"Vinogradov, A.E. (1998a). Genome size and GC-percent in vertebrates as determined by flow cytometry: the triangular relationship. Cytometry 31: 100-109.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Chrysolophus pictus,Aves,Galliformes,Phasianidae,41,,"Tiersch, T.R. and S.S. Wachtel (1991). On the evolution of genome size of birds. Journal of Heredity 82: 363-368.",,,,
Clupea harengus,Actinopterygii,Clupeiformes,Clupeidae,26,,"Ida, H., Oka, N., & Hayashigaki, K. (1991). Karyotypes and cellular DNA contents of three species of the subfamily Clupeinae. È≠öÈ°ûÂ≠¶ÈõëË™å, 38(3), 289‚Äì294. https://doi.org/10.11369/jji1950.38.289",,850,"Ì Kongsstovu, S., Mikalsen, S.-O., Homrum, E. Ì, Jacobsen, J. A., Flicek, P., & Dahl, H. A. (2019). Using long and linked reads to improve an Atlantic herring (Clupea harengus) genome assembly. Scientific Reports, 9(1), 17716. https://doi.org/10.1038/s41598-019-54151-9",
Colobus angolensis palliatus,Mammalia,Primates,Cercopithecidae,22,,"Bigoni F;Stanyon R;Koehler U;Morescalchi AM;Wienberg J. (2020). Mapping homology between human and black and white colobine monkey chromosomes by fluorescent in situ hybridization. American Journal of Primatology, 42(4). https://doi.org/10.1002/(SICI)1098-2345(1997)42:4%3C289::AID-AJP4%3E3.0.CO;2-T",,NA,NA,NA
Corvus moneduloides,Aves,Passeriformes,Corvidae,40,,"Mittal OP;Sakhuja S. (2024). Bone marrow chromosomes in Corvus species (Corvidae: Passeriformes: Aves). Cytobios, 29(114). https://pubmed.ncbi.nlm.nih.gov/7471815/#:~:text=The%20diploid%20number%20of%2080",,NA,NA,NA
Cottoperca gobio,Actinopterygii,Perciformes,Bovichtidae,24,,"Pisano, E., Ozouf-Costaz, C., Hureau, J-C., & Williams, R. (1995). Chromosome differentiation in the subantarctic Bovichtidae species Cottoperca gobio (GÔøΩnther, 1861) and Pseudaphritis urvillii (Valenciennes, 1832) (Pisces, Perciformes). Antarctic Science, 7(4), 381ÔøΩ386. https://doi.org/10.1017/s0954102095000526",,NA,NA,NA
Coturnix japonica,Aves,Galliformes,Phasianidae,39,,"Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.",,1378.98,"Nakamura, D., T.R. Tiersch, M. Douglass, and R.W. Chandler (1990). Rapid identification of sex in birds by flow cytometry. Cytogenetics and Cell Genetics 53: 201-205.","Gregory, T.R. (2024). Animal Genome Size Database. http://www.genomesize.com."
Cricetulus griseus,Mammalia,Rodentia,Cricetidae,11,,"Kato, H., M. Harada, K. Tsuchiya, and K. Moriwaki (1980). Absence of correlation between DNA repair in ultraviolet irradiated mammalian cells and life span of the donor species. Japanese Journal of Genetics 55: 99-108.",,,,
Crocodylus porosus,Reptilia,Crocodilia,Crocodylidae,17,,"Olmo E., Signorino G.G. (2005) ChromoRep: A reptiles chromosomes database.",,NA,NA,NA
