"species","rsq","assem.sz","class","order","family","clade"
"Echeneis_naucrates",0.484933652228265,544,"Actinopterygii","Carangiformes","Echeneidae","Actinopterygii"
"Electrophorus_electricus",0.88503545694536,589,"Actinopterygii","Gymnotiformes","Gymnotidae","Actinopterygii"
"Equus_asinus",0.686702140500106,2432,"Mammalia","Perissodactyla","Equidae","Mammalia"
"Equus_caballus",0.87230710442114,2507,"Mammalia","Perissodactyla","Equidae","Mammalia"
"Erpetoichthys_calabaricus",0.719569124295541,3811,"Actinopterygii","Polypteriformes","Polypteridae","Actinopterygii"
"Esox_lucius",0.703774429863882,919,"Actinopterygii","Esociformes","Esocidae","Actinopterygii"
"Felis_catus",0.719501771865772,2522,"Mammalia","Carnivora","Felidae","Mammalia"
"Ficedula_albicollis",0.949518064246305,1118,"Aves","Passeriformes","Muscicapidae","Sauria"
"Gadus_morhua",0.570019698283379,670,"Actinopterygii","Gadiformes","Gadidae","Actinopterygii"
"Gallus_gallus",0.985629500867044,1053,"Aves","Galliformes","Phasianidae","Sauria"
"Gasterosteus_aculeatus",0.801441293061449,472,"Actinopterygii","Scorpaeniformes","Gasterosteidae","Actinopterygii"
"Gopherus_evgoodei",0.943049296083285,2299,"Reptilia","Testudines","Testudinidae","Sauria"
"Gorilla_gorilla",0.529521472068438,3063,"Mammalia","Primates","Hominidae","Mammalia"
"Gouania_willdenowi",0.828512941900822,937,"Actinopterygii","Gobiesociformes","Gobiesocidae","Actinopterygii"
"Heterocephalus_glaber",0.36837772713746,2500,"Mammalia","Rodentia","Heterocephalidae","Mammalia"
"Homo_sapiens",0.627708566717051,3100,"Mammalia","Primates","Hominidae","Mammalia"
"Ictalurus_punctatus",0.818359470898569,783,"Actinopterygii","Siluriformes","Ictaluridae","Actinopterygii"
"Junco_hyemalis",0.973304712866517,958,"Aves","Passeriformes","Passerellidae","Sauria"
"Larimichthys_crocea",0.863076696070018,658,"Actinopterygii","Acanthuriformes","Sciaenidae","Actinopterygii"
"Lepisosteus_oculatus",0.915327162528239,946,"Actinopterygii","Lepisosteiformes","Lepisosteidae","Actinopterygii"
"Leptobrachium_leishanense",0.959850946850979,3549,"Amphibia","Anura","Megophryidae","Others"
"Loxodonta_africana",0.665987646147065,3197,"Mammalia","Proboscidea","Elephantidae","Mammalia"
"Lynx_canadensis",0.47354112073229,2409,"Mammalia","Carnivora","Felidae","Mammalia"
"Macaca_fascicularis",0.50947385104602,2906,"Mammalia","Primates","Cercopithecidae","Mammalia"
"Macaca_mulatta",0.469459039863936,2304,"Mammalia","Primates","Cercopithecidae","Mammalia"
"Malurus_cyaneus_samueli",0.951509197055715,1079,"Aves","Passeriformes","Maluridae","Sauria"
"Mastacembelus_armatus",0.484282698797461,592,"Actinopterygii","Synbranchiformes","Mastacembelidae","Actinopterygii"
"Meleagris_gallopavo",0.942379607006256,1115,"Aves","Galliformes","Phasianidae","Sauria"
"Melopsittacus_undulatus",0.764045454967731,1172,"Aves","Psittaciformes","Psittaculidae","Sauria"
"Microcebus_murinus",0.676273458049612,2487,"Mammalia","Primates","Cheirogaleidae","Mammalia"
"Microtus_ochrogaster",0.806208409677141,2287,"Mammalia","Rodentia","Cricetidae","Mammalia"
"Monodelphis_domestica",0.962507567610773,3601,"Mammalia","Didelphimorphia","Didelphidae","Mammalia"
"Monodon_monoceros",0.474972869221355,2356,"Mammalia","Artiodactyla","Monodontidae","Mammalia"
"Mus_caroli",0.703244137426358,2553,"Mammalia","Rodentia","Muridae","Mammalia"
"Mus_musculus",0.590395025653492,2728,"Mammalia","Rodentia","Muridae","Mammalia"
"Mus_pahari",0.781160629570684,2475,"Mammalia","Rodentia","Muridae","Mammalia"
"Mus_spretus",0.713016510354934,2626,"Mammalia","Rodentia","Muridae","Mammalia"
"Myripristis_murdjan",0.393904258038861,835,"Actinopterygii","Beryciformes","Holocentridae","Actinopterygii"
"Naja_naja",0.984126988895288,1769,"Reptilia","Squamata","Elapidae","Sauria"
"Nomascus_leucogenys",0.578868469020987,2962,"Mammalia","Primates","Hylobatidae","Mammalia"
"Nothobranchius_furzeri",0.779516847848378,1243,"Actinopterygii","Cyprinodontiformes","Nothobranchiidae","Actinopterygii"
"Numida_meleagris",0.985003045940394,1043,"Aves","Galliformes","Numididae","Sauria"
"Oncorhynchus_kisutch",0.894828189750653,2376,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"Oncorhynchus_mykiss",0.843069483554465,2342,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"Oncorhynchus_tshawytscha",0.883544347411093,2295,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"Oreochromis_aureus",0.936072842767071,1006,"Actinopterygii","Cichliformes","Cichlidae","Actinopterygii"
"Oreochromis_niloticus",0.822531079741608,1006,"Actinopterygii","Cichliformes","Cichlidae","Actinopterygii"
"Ornithorhynchus_anatinus",0.902506775962804,1859,"Mammalia","Monotremata","Ornithorhynchidae","Mammalia"
"Oryctolagus_cuniculus",0.808701357974846,2737,"Mammalia","Lagomorpha","Leporidae","Mammalia"
"Oryzias_javanicus",0.451697421803658,810,"Actinopterygii","Beloniformes","Adrianichthyidae","Actinopterygii"
"Oryzias_latipes",0.425346801381726,734,"Actinopterygii","Beloniformes","Adrianichthyidae","Actinopterygii"
"Ovis_aries_rambouillet",0.771480203713272,2628,"Mammalia","Artiodactyla","Bovidae","Mammalia"
"Pan_paniscus",0.464577321624021,3287,"Mammalia","Primates","Hominidae","Mammalia"
"Pan_troglodytes",0.572128551057394,3231,"Mammalia","Primates","Hominidae","Mammalia"
"Panthera_leo",0.607617060727812,2407,"Mammalia","Carnivora","Felidae","Mammalia"
"Papio_anubis",0.483797995902123,2870,"Mammalia","Primates","Cercopithecidae","Mammalia"
"Parambassis_ranga",0.792662063797748,551,"Actinopterygii",NA,"Ambassidae","Actinopterygii"
"Parus_major",0.977730474815835,1020,"Aves","Passeriformes","Paridae","Sauria"
"Periophthalmus_magnuspinnatus",0.578761783993677,753,"Actinopterygii","Gobiiformes","Oxudercidae","Actinopterygii"
"Peromyscus_maniculatus_bairdii",0.73340472382627,2512,"Mammalia","Rodentia","Cricetidae","Mammalia"
"Phocoena_sinus",0.470323252033263,2372,"Mammalia","Artiodactyla","Phocoenidae","Mammalia"
"Physeter_catodon",0.430167365049222,2512,"Mammalia","Artiodactyla","Physeteridae","Mammalia"
"Podarcis_muralis",0.668866886063606,1511,"Reptilia","Squamata","Lacertidae","Sauria"
"Poecilia_reticulata",0.632111993159251,732,"Actinopterygii","Cyprinodontiformes","Poeciliidae","Actinopterygii"
"Pongo_abelii",0.403753258361576,3065,"Mammalia","Primates","Hominidae","Mammalia"
"Pygocentrus_nattereri",0.82717496988707,1222,"Actinopterygii","Characiformes","Serrasalmidae","Actinopterygii"
"Rattus_norvegicus",0.745330130659208,2648,"Mammalia","Rodentia","Muridae","Mammalia"
"Rhinolophus_ferrumequinum",0.373970941533112,2076,"Mammalia","Chiroptera","Rhinolophidae","Mammalia"
"Salarias_fasciatus",0.480010465387033,797,"Actinopterygii","Blenniiformes","Blenniidae","Actinopterygii"
"Salmo_salar",0.903784922743083,2757,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"Salmo_trutta",0.804108329537945,2372,"Actinopterygii","Salmoniformes","Salmonidae","Actinopterygii"
"Sarcophilus_harrisii",0.963882437993541,3087,"Mammalia","Dasyuromorphia","Dasyuridae","Mammalia"
"Sciurus_vulgaris",0.791418769102492,2879,"Mammalia","Rodentia","Sciuridae","Mammalia"
"Scleropages_formosus",0.869792001649275,785,"Actinopterygii","Osteoglossiformes","Osteoglossidae","Actinopterygii"
"Scophthalmus_maximus",0.198617750058015,557,"Actinopterygii","Pleuronectiformes","Scophthalmidae","Actinopterygii"
"Sparus_aurata",0.415375338238851,834,"Actinopterygii","Spariformes","Sparidae","Actinopterygii"
"Sphaeramia_orbicularis",0.698100578816524,1343,"Actinopterygii","Kurtiformes","Apogonidae","Actinopterygii"
"Strigops_habroptila",0.800753896192676,1166,"Aves","Psittaciformes","Strigopidae","Sauria"
"Suricata_suricatta",0.18329907312688,2354,"Mammalia","Carnivora","Herpestidae","Mammalia"
"Sus_scrofa",0.750748674436502,2502,"Mammalia","Artiodactyla","Suidae","Mammalia"
"Taeniopygia_guttata",0.963610256684005,1058,"Aves","Passeriformes","Estrildidae","Sauria"
"Takifugu_rubripes",0.763982967233059,384,"Actinopterygii","Tetraodontiformes","Tetraodontidae","Actinopterygii"
"Tetraodon_nigroviridis",0.997721347919059,359,"Actinopterygii","Tetraodontiformes","Tetraodontidae","Actinopterygii"
"Theropithecus_gelada",0.340150355994665,2890,"Mammalia","Primates","Cercopithecidae","Mammalia"
"Xenopus_tropicalis",0.799195809777637,1451,"Amphibia","Anura","Pipidae","Others"
"Xiphophorus_couchianus",0.861630462959589,708,"Actinopterygii","Cyprinodontiformes","Poeciliidae","Actinopterygii"
"Xiphophorus_maculatus",0.576445446375305,704,"Actinopterygii","Cyprinodontiformes","Poeciliidae","Actinopterygii"
"Zalophus_californianus",0.424514124212152,2409,"Mammalia","Carnifora","Otariidae","Mammalia"
