species,complete,link,single
Ovis_aries_rambouillet,99.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016772045.1/,96.9
Pan_paniscus,97.6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000258655.2/,94.4
Pan_troglodytes,98.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001515.7/,89.3
Panthera_leo,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_008795835.1/,
Papio_anubis,97.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_008728515.1/,95.3
Parambassis_ranga,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_900634625.2/,
Parus_major,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001522545.2/,
Periophthalmus_magnuspinnatus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000787105.1/,
Peromyscus_maniculatus_bairdii,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003704035.1/,
Phocoena_sinus,98,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_008692025.1/,96.9
Physeter_catodon,94.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002837175.2/,93.5
Podarcis_muralis,96.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004329235.1/,93.5
Poecilia_reticulata,97,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000633615.1/,96.7
Pongo_abelii,98.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002880775.1/,98.3
Pygocentrus_nattereri,99.7,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_015220715.1/,99
Rattus_norvegicus,99.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_015227675.2/,98
Rhinolophus_ferrumequinum,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004115265.1/,
Salarias_fasciatus,98.4,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_902148845.1/,91.4
Salmo_salar,99.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_905237065.1/,54.3
Salmo_trutta,99,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_901001165.1/,54.3
Sarcophilus_harrisii,95.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_902635505.1/,94.5
Sciurus_vulgaris,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_902635505.1/,
Scleropages_formosus,99,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900964775.1/,95.5
Scophthalmus_maximus,99.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013347765.1/,98.5
Sparus_aurata,99.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900880675.1/,98.1
Sphaeramia_orbicularis,99,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_902148855.1/,95.4
Strigops_habroptila,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004027225.1/,
Suricata_suricatta,95.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_006229205.1/,94.7
Sus_scrofa,98.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000003025.6/,97.7
Taeniopygia_guttata,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003957565.1/,
Takifugu_rubripes,98.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_901000725.2/,94.6
Tetraodon_nigroviridis,,,
Theropithecus_gelada,98.7,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003255815.1/,97.5
Xenopus_tropicalis,96.6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000004195.4/,95
Xiphophorus_couchianus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001444195.1/,
Xiphophorus_maculatus,99.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002775205.1/,98.7
Zalophus_californianus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009762305.1/,
